serial_no,question,options/A,options/B,options/C,options/D,options/E,answer,hallucinated_question,technique,difficulty_justification,pred_GPT-4o-mini,correct_GPT-4o-mini,pred_Gemini-3.1-flash-lite,correct_Gemini-3.1-flash-lite,pred_Grok-4.3,correct_Grok-4.3,pred_Qwen-2.5-72B,correct_Qwen-2.5-72B,pred_Llama-3.1-70B,correct_Llama-3.1-70B,pred_DeepSeek-V4-Flash,correct_DeepSeek-V4-Flash
296,কোনটি সিক্রেটিন ক্ষরণ করে?,ভেজুনাম,ইলিয়াম,ডিওডেনাম,অগ্ন্যাশয়,উত্তর নেই,C,উল্লিখিত হরমোনটি কোন অঙ্গ থেকে ক্ষরিত হয়?,Referent Deletion,"কোন হরমোনকে ‘উল্লিখিত’ বলা হয়েছে তা প্রশ্নে নির্দিষ্ট করা নেই, তাই প্রদত্ত A–D বিকল্পের কোনোটিকেই নিশ্চিতভাবে সঠিক বলা যায় না।",D,0,E,1,E,1,E,1,,,E,1
297,Arthropoda এর বর্গ নয় কোনটি?,Hexapoda,Collembola,Millipedes,Gastropoda,উত্তর নেই,D,উল্লিখিত নির্দিষ্ট শ্রেণিবিন্যাস অনুযায়ী Arthropoda-এর বর্গ নয় কোনটি?,Referent Deletion,"কোন নির্দিষ্ট শ্রেণিবিন্যাস বা পূর্বোক্ত তালিকা বোঝানো হয়েছে তা দেওয়া না থাকায়, বিশেষজ্ঞও A–D-এর কোনোটিকে নিশ্চিতভাবে সঠিক বলতে পারবেন না।",D,0,D,0,D,0,D,0,,,D,0
298,কোথায় এনজাইম নেই?,পাকস্থলিতে,যকৃতে,পিত্তরসে,রক্তে,উত্তর নেই,C,উল্লিখিত দেহতরলগুলোর মধ্যে কোথায় এনজাইম নেই?,Referent Deletion,"কোন দেহতরলগুলোকে ‘উল্লিখিত’ বলা হয়েছে তা প্রশ্নে নির্দিষ্ট করা হয়নি, তাই A–D-এর কোনো বিকল্পকে নিশ্চিতভাবে সঠিক বলা যায় না।",E,1,C,0,C,0,E,1,,,C,0
299,ক্ষুদ্র লসিক নালিকে কি বলে?,সাব-সুপারভিয়াল,সুপারভিয়াল,ল্যাক্টিয়াল,সবগুলো,উত্তর নেই,C,"যে ক্ষুদ্র লসিক নালি ক্ষুদ্রান্ত্রের ভিলাইতে চর্বি শোষণ করে এবং একই সঙ্গে লসিকাগ্রন্থির ভেতরে অবস্থিত, তাকে কী বলে?",Contradiction,"ল্যাক্টিয়াল ক্ষুদ্রান্ত্রের ভিলাইতে থাকে, কিন্তু লসিকাগ্রন্থির ভেতরে অবস্থিত নয়—তাই প্রশ্নের দুটি শর্ত একসঙ্গে কোনো প্রদত্ত বিকল্পের ক্ষেত্রে প্রযোজ্য নয়।",E,1,C,0,E,1,C,0,,,C,0
300,হার্ডেরিয়ান গ্রন্থির অবস্থান কোথায়?,চোখ,জিহ্বা,ত্বক,কান,উত্তর নেই,A,উল্লিখিত গ্রন্থির অবস্থান কোথায়?,Referent Deletion,"প্রশ্নে কোনো গ্রন্থির নাম বা পূর্ববর্তী উল্লেখ নেই, তাই হার্ডেরিয়ান গ্রন্থি সম্পর্কে জ্ঞান থাকলেও প্রদত্ত বিকল্পগুলোর মধ্যে নির্দিষ্ট উত্তর নির্বাচন করা যায় না।",E,1,E,1,E,1,E,1,,,E,1
301,পিটুইটারি গ্রন্থি থেকে কোন হরমোন নিঃসৃত হয়?,টেস্টোস্টেরন,ইস্ট্রোজেন,TSH,থাইরয়েড,উত্তর নেই,C,উল্লিখিত অন্তঃক্ষরা গ্রন্থি থেকে কোন হরমোন নিঃসৃত হয়?,Referent Deletion,"প্রশ্নে ‘উল্লিখিত’ গ্রন্থির কোনো পূর্বনির্দিষ্ট পরিচয় দেওয়া হয়নি, তাই A–D-এর কোনোটিকেই নিশ্চিতভাবে সঠিক উত্তর হিসেবে নির্ধারণ করা যায় না।",E,1,E,1,E,1,E,1,,,E,1
302,শুক্রাণুর অ্যাক্রোসোম তৈরি করে কোনটি?,লাইসোসোম,মাইটোকন্ড্রিয়া,গলগি বডি,কোষপ্রাচীর,উত্তর নেই,C,উল্লিখিত কোষীয় গঠনটির উৎপত্তির জন্য দায়ী অঙ্গাণু কোনটি?,Referent Deletion,"কোন কোষীয় গঠনকে ‘উল্লিখিত’ বলা হচ্ছে তা প্রশ্নে নির্দিষ্ট করা হয়নি, তাই প্রদত্ত কোনো বিকল্পই নিশ্চিতভাবে সঠিক হতে পারে না।",E,1,E,1,E,1,E,1,,,E,1
303,কোনটি অতি বিপন্ন প্রাণী?,কাঁকড়া,শকুন,সাইবেরিয়ান বাঘ,আফ্রিকান সজারু,উত্তর নেই,C,"কোনটি অতি বিপন্ন প্রাণী, অথচ আইইউসিএন-এর শ্রেণিবিন্যাসে একই সঙ্গে ‘নিরাপদ’ (Least Concern) হিসেবে বিবেচিত?",Contradiction,"সংরক্ষণবিদ্যার জ্ঞানসম্পন্ন ব্যক্তি বুঝবেন যে ‘অতি বিপন্ন’ ও ‘নিরাপদ’ আইইউসিএন শ্রেণিবিন্যাসে পরস্পরবিরোধী অবস্থান, তাই A–D-এর কোনোটি সঠিক হতে পারে না।",E,1,E,1,E,1,E,1,,,E,1
304,ট্রফোব্লাস্ট থেকে ভিলাই বের হতে থাকে—,২য় সপ্তাহের শুরুতে,২য় সপ্তাহের মাঝে,২য় সপ্তাহের শেষে,১ম সপ্তাহের শেষে,উত্তর নেই,C,"যে ট্রফোব্লাস্ট-স্তর থেকে কোরিয়নিক ভিলাই গঠিত হয়, সেটি ইমপ্লান্টেশনের আগেই সম্পূর্ণ বিলুপ্ত হয়ে গেলে ভিলাই বের হতে শুরু করার সময় কোনটি?",Contradiction,"ট্রফোব্লাস্ট বিলুপ্ত হয়ে গেলে সেই স্তর থেকে ভিলাই গঠিত হওয়া সম্ভব নয়, তাই প্রদত্ত কোনো সময়সীমাই নির্ভুল উত্তর হতে পারে না।",E,1,E,1,E,1,C,0,,,E,1
305,অ্যানিমাল পোলের ক্ষেত্রে কোনটি সঠিক?,ভ্রূণের অংশে বড় বড় কোষ থাকে,প্রাথমিক জীবাণুস্তর তৈরি করেনা,এতে বৃহৎ পরিমাণে কুসুম কোষ রয়েছে,কোষগুলো অনেক দ্রুত বিভাজিত হয়,উত্তর নেই,D,উল্লিখিত ভ্রূণীয় মেরুর ক্ষেত্রে কোনটি সঠিক?,Referent Deletion,প্রশ্নে কোন ভ্রূণীয় মেরু উল্লিখিত হয়েছে তা নির্দিষ্ট না থাকায় A–D-এর কোনো বিকল্পকে নিশ্চিতভাবে সঠিক বলা যায় না।,E,1,D,0,E,1,D,0,,,E,1
307,কোনটি বর্ণ সংবেদী?,আইরিশ,কর্ণিয়া,রডকোষ,পিউপিল,উত্তর নেই,C,উল্লিখিত নির্দিষ্ট বর্ণসংবেদী গঠনটির নাম কী?,Referent Deletion,"প্রশ্নে ‘উল্লিখিত’ গঠনটির কোনো পূর্বনির্দিষ্ট উল্লেখ নেই, তাই কোন শারীরবৃত্তীয় গঠন বোঝানো হয়েছে তা নির্ধারণ করা যায় না।",E,1,C,0,E,1,C,0,,,E,1
308,থিবেসিয়ান কপাটিকা কোথায় অবস্থিত?,করোনারি সাইনাস ও ডান অলিন্দের সংযোগস্থলে,হৃৎপিন্ড গাত্র থেকে আগত রক্তকে বাম অলিন্দে প্রেরণ করে,হৃৎপিন্ড গাত্র থেকে আগত রক্তকে ডান নিলয়ে প্রেরণ করে,করোনারি সাইনাস ও বাম অলিন্দের সংযোগস্থলে,উত্তর নেই,,উল্লিখিত কপাটিকাটি কোথায় অবস্থিত?,Referent Deletion,কোন কপাটিকার কথা বলা হচ্ছে তা উল্লেখ না থাকায় এর অবস্থান নির্ধারণ করা অসম্ভব—বিশেষজ্ঞ এই অনুল্লিখিত পূর্বসূত্রের অভাবটি ধরতে পারবেন।,E,1,A,0,E,1,A,0,,,A,0
309,জীব-বৈচিত্র্য অঞ্চলকে কী বলা হয়?,হটস্পট,লাইফস্পট,লিভিং এরিয়া,ভাইভারসিটি স্পট,উত্তর নেই,A,উল্লিখিত বৈশিষ্ট্যসম্পন্ন জীব-বৈচিত্র্য অঞ্চলকে কী বলা হয়?,Referent Deletion,"কোন বৈশিষ্ট্য বা সংজ্ঞা ‘উল্লিখিত’ হয়েছে তা প্রশ্নে নেই, তাই হটস্পটসহ কোনো বিকল্পকেই নিশ্চিতভাবে সঠিক বলা যায় না।",A,0,A,0,E,1,A,0,,,A,0
310,শীতকালে কোন প্রাণীটি ঘুমিয়ে কাটায়?,ব্যাঙ,সাপ,বাদুড়,সবগুলো,উত্তর নেই,,"শীতকালে যে প্রাণীটি দীর্ঘ শীতনিদ্রায় থাকে এবং একই সময়ে শীতনিদ্রা না নিয়ে সক্রিয়ও থাকে, সেটি কোনটি?",Contradiction,একই প্রাণী একই সময়ে দীর্ঘ শীতনিদ্রায় থাকা ও শীতনিদ্রা না নিয়ে সক্রিয় থাকা—দুটি পরস্পরবিরোধী বৈশিষ্ট্য ধারণ করতে পারে না।,E,1,D,0,E,1,E,1,,,E,1
311,সিফিলিস রোগের জন্য দায়ী নিচের কোনটি?,Treponema pallidum,Neisseria gonorrhoeae,Treponema vagmalis,Trichomonas vaginalis,উত্তর নেই,A,সিফিলিসের জন্য দায়ী জীবাণুটি একই সঙ্গে একটি স্পাইরোকিট এবং জোড়ায় অবস্থানকারী গ্রাম-নেগেটিভ ডিপ্লোকক্কাস—নিচের কোনটি সেই জীবাণু?,Contradiction,"Treponema pallidum একটি স্পাইরোকিট, আর জোড়ায় অবস্থানকারী গ্রাম-নেগেটিভ ডিপ্লোকক্কাস হলো Neisseria gonorrhoeae—তাই কোনো একক বিকল্প উভয় বৈশিষ্ট্য পূরণ করে না।",E,1,E,1,E,1,E,1,,,E,1
312,জিহ্বা থেকে স্বাদের অনুভূতি গ্রহণ করে কোন স্নায়ু?,অকুলোমোটর স্নায়ু,গ্লসোফ্যারিঞ্জিয়াল স্নায়ু,অপটিক স্নায়ু,ট্রাইজেমিনাল স্নায়ু,উত্তর নেই,B,জিহ্বার পশ্চাৎ এক-তৃতীয়াংশ থেকে স্বাদের অনুভূতি গ্রহণকারী এবং দ্বিতীয় করোটিক স্নায়ু হিসেবে শ্রেণিবদ্ধ স্নায়ুটির নাম কী?,Contradiction,"জিহ্বার পশ্চাৎ এক-তৃতীয়াংশের স্বাদ গ্লসোফ্যারিঞ্জিয়াল স্নায়ু বহন করলেও এটি দ্বিতীয় নয়, নবম করোটিক স্নায়ু—তাই কোনো প্রদত্ত বিকল্পই উভয় শর্ত পূরণ করে না।",B,0,B,0,E,1,B,0,,,B,0
313,নিচের কোনটি ক্যান্সার রোগের চিকিৎসায় ব্যবহৃত হয়?,Heparin,Immunoglobulin,Interferone,Histone protein,উত্তর নেই,C,"ক্যান্সার চিকিৎসায় ব্যবহৃত যে প্রোটিনটি একই সঙ্গে ভাইরাসবিরোধী সংকেত প্রদান করে এবং রক্ত জমাট বাঁধা প্রতিরোধ করে, সেটি নিচের কোনটি?",Contradiction,"ইন্টারফেরন ভাইরাসবিরোধী সংকেত প্রদান করলেও রক্ত জমাট বাঁধা প্রতিরোধ করে না; এই বৈশিষ্ট্যটি হেপারিনের, তাই কোনো একটি বিকল্পই উভয় শর্ত পূরণ করে না।",C,0,C,0,E,1,E,1,,,E,1
314,নিচের কোন বৈশিষ্ট্য পলিজিন দ্বারা নিয়ন্ত্রিত হয় না?,উচ্চতা,আকৃতি,ত্বকের বর্ণ,বুদ্ধিমত্তা,উত্তর নেই,B,"নিচের কোন বৈশিষ্ট্যটি পলিজিন দ্বারা নিয়ন্ত্রিত নয়, অথচ একই সঙ্গে একাধিক জিনের সম্মিলিত প্রভাবে নিয়ন্ত্রিত?",Contradiction,"পলিজিন-নিয়ন্ত্রিত বৈশিষ্ট্যই একাধিক জিনের সম্মিলিত প্রভাবে প্রকাশ পায়, তাই প্রশ্নের দুটি শর্ত পরস্পরবিরোধী এবং A–D-এর কোনোটিই সঠিক হতে পারে না।",E,1,E,1,E,1,E,1,,,E,1
315,নিচের কোনটি মিশ্র গ্রন্থির উদাহরণ নয়?,ডিম্বাশয়,এড্রেনাল গ্রন্থি,অগ্ন্যাশয়,অন্ত্রীয় গ্রন্থি,উত্তর নেই,B,"নিচের কোন গ্রন্থিটি মিশ্র গ্রন্থির উদাহরণ নয়, অথচ একই সঙ্গে অন্তঃক্ষরা হরমোন ও বহিঃক্ষরা রস নিঃসরণ করে?",Contradiction,"মিশ্র গ্রন্থির সংজ্ঞা অনুযায়ী অন্তঃক্ষরা ও বহিঃক্ষরা—উভয় ধরনের নিঃসরণকারী গ্রন্থিকে মিশ্র গ্রন্থি বলা হয়, তাই প্রশ্নের দুটি শর্ত পরস্পর অসঙ্গত।",D,0,E,1,E,1,E,1,,,E,1
316,নিচের কোনটি সমগোত্রীয় পাখির উদাহরণ নয়?,চড়ুই,চামচঠোঁই কাদাখোচা,হিমালয়ান পার্টিজ,গোল্ডেন প্লোভার,উত্তর নেই,A,উল্লিখিত শ্রেণিবিন্যাসগত গোষ্ঠীর অন্তর্ভুক্ত নয়—এমন পাখির উদাহরণ কোনটি?,Referent Deletion,"কোন শ্রেণিবিন্যাসগত গোষ্ঠীকে ‘উল্লিখিত’ বলা হয়েছে তা প্রশ্নে নির্দিষ্ট না থাকায়, প্রদত্ত কোনো বিকল্পকেই নিশ্চিতভাবে সঠিক বলা যায় না।",E,1,E,1,E,1,E,1,,,UNKNOWN,0
317,কোনটি সেরেব্রামের কাজ নয়?,বৃত্তিবৃত্তি,ইচ্ছাশক্তি,স্মৃতিশক্তি,শ্বাসপ্রশ্বাসের হার,উত্তর নেই,D,উল্লিখিত মস্তিষ্কীয় অংশের কাজ নয় কোনটি?,Referential Deletion,"কোন মস্তিষ্কীয় অংশকে ‘উল্লিখিত’ বলা হয়েছে তা নির্দিষ্ট না থাকায়, প্রদত্ত বিকল্পগুলোর কোনোটিকেই নিশ্চিতভাবে সঠিক উত্তর হিসেবে নির্বাচন করা যায় না।",D,0,D,0,E,1,D,0,,,E,1
318,চোখের লেন্স ও রেটিনার মধ্যে অবস্থান করে নিচের কোনটি?,ভিট্রিয়াস হিউমার,হিমোসিল,কর্নিয়া,অ্যাকুয়াস হিউমার,উত্তর নেই,A,চোখের লেন্স ও রেটিনার মধ্যে অবস্থিত এবং একই সঙ্গে কর্নিয়া ও আইরিসের মধ্যবর্তী প্রকোষ্ঠে অবস্থান করে—এমন স্বচ্ছ মাধ্যম কোনটি?,Contradiction,"বিশেষজ্ঞ জানবেন যে লেন্স ও রেটিনার মধ্যবর্তী অংশে ভিট্রিয়াস হিউমার থাকে, আর কর্নিয়া ও আইরিসের মধ্যবর্তী প্রকোষ্ঠে থাকে অ্যাকুয়াস হিউমার—একটি মাধ্যম একই সঙ্গে উভয় স্থানে থাকতে পারে না।",D,0,D,0,E,1,D,0,,,E,1
319,মধ্যচ্ছদার উপস্থিতি বা Presence of diaphragm কোন পর্বের প্রাণির বৈশিষ্ট্য?,Reptilia,Aves,Amphibia,Mammalia,উত্তর নেই,D,"যে পর্বের প্রাণীদের দেহে মধ্যচ্ছদা বুক ও উদরগহ্বরকে পৃথক করে, কিন্তু একই সঙ্গে সেই পর্বে মধ্যচ্ছদা সম্পূর্ণ অনুপস্থিত—সেই পর্ব কোনটি?",Contradiction,মধ্যচ্ছদার উপস্থিতি এবং সম্পূর্ণ অনুপস্থিতি একই পর্বের বৈশিষ্ট্য হতে পারে না—এই পরস্পরবিরোধিতা একজন চিকিৎসাবিদ শনাক্ত করবেন।,E,1,D,0,E,1,E,1,,,E,1
320,হাইড্রার এন্ডোডার্মিসের যেকোনো কোষ তৈরি করতে পারে কোনটি?,পুষ্টি কোষ,ইন্টারস্টিশিয়াল কোষ,গ্রন্থি কোষ,সংবেদী কোষ,উত্তর নেই,B,উল্লিখিত কোষটি হাইড্রার এন্ডোডার্মিসের কোন ধরনের কোষে রূপান্তরিত হতে পারে?,Referent Deletion,কোন কোষকে ‘উল্লিখিত’ বলা হচ্ছে তা প্রশ্নে নির্দিষ্ট না থাকায় A–D-এর কোনো বিকল্পকে নির্ভুলভাবে নির্বাচন করা যায় না।,E,1,E,1,E,1,B,0,,,D,0
321,বাংলাদেশে সন্ধানপ্রাপ্ত ঘাসফড়িংয়ের প্রজাতির সংখ্যা কত?,দুই হাজারটি,বিশ হাজারটি,বিশটি,দুই শতটি,উত্তর নেই,C,উল্লিখিত ঘাসফড়িংয়ের প্রজাতির সংখ্যা কত?,Referent Deletion,"কোন ঘাসফড়িংয়ের প্রজাতি বা কোন পূর্বোক্ত তথ্য এখানে উল্লেখ করা হয়নি, তাই নির্দিষ্ট সংখ্যাটি নির্ধারণ করা যায় না।",E,1,E,1,E,1,E,1,,,E,1
322,রুই মাছের হৃৎপিণ্ডকে কী নামে অভিহিত করা হয়?,দ্বিচক্র হৃৎপিণ্ড,শিরা হৃৎপিণ্ড,বহুচক্র হৃৎপিণ্ড,ধমনি হৃৎপিণ্ড,উত্তর নেই,B,উল্লিখিত মাছের হৃৎপিণ্ডকে কী নামে অভিহিত করা হয়?,Referent Deletion,কোন মাছকে বোঝানো হয়েছে তা প্রশ্নে উল্লেখ না থাকায় নির্দিষ্টভাবে ‘শিরা হৃৎপিণ্ড’ বা অন্য কোনো বিকল্পকে সঠিক বলা যায় না।,E,1,B,0,E,1,E,1,,,A,0
323,একজন পূর্ণ বয়স্ক মানুষের নিচের চোয়ালে মোলার দাঁতের সংখ্যা কত?,২টি,৪টি,৩টি,৬টি,উত্তর নেই,D,"একজন পূর্ণবয়স্ক মানুষের নিচের চোয়ালে তৃতীয় মোলারসহ মোলার দাঁতের স্বাভাবিক সংখ্যা ৫টি ধরে নিলে, সেই সংখ্যা কত?",Unrealism,"ডোমেইন বিশেষজ্ঞ জানেন যে তৃতীয় মোলারসহ নিচের চোয়ালে স্বাভাবিক মোলার দাঁতের সংখ্যা ৬টি, তাই প্রশ্নে দেওয়া ৫টির মানটি চিকিৎসাবিদ্যাগতভাবে ভুল।",E,1,E,1,E,1,D,0,,,E,1
324,মানুষের যকৃতের বাহিরের দিকে আবৃতকারী পর্দার নাম কী?,বোম্যান্স ক্যাপসুল,স্পিনিক ক্যাপসুল,রেনাল ক্যাপসুল,গ্লিসনস ক্যাপসুল,উত্তর নেই,D,উল্লিখিত অঙ্গের বাহিরের দিকে আবৃতকারী পর্দার নাম কী?,Referent Deletion,প্রশ্নে কোন অঙ্গকে ‘উল্লিখিত’ বলা হয়েছে তা নির্দিষ্ট না থাকায় যকৃতের গ্লিসনের ক্যাপসুলসহ কোনো বিকল্পই নিশ্চিতভাবে সঠিক বলা যায় না।,C,0,E,1,E,1,E,1,,,E,1
325,স্থুলতার সাথে নিচের কোন রোগটি সম্পর্ক যুক্ত নয়?,স্ট্রোক,টাইপ-১ ডায়াবেটিস মেলাইটাস,উচ্চ রক্তচাপ,ক্যানসার,উত্তর নেই,B,উল্লিখিত নির্দিষ্ট স্থূলতার ধরনটির সঙ্গে নিচের কোন রোগটি সম্পর্কযুক্ত নয়?,Referent Deletion,কোন ধরনের স্থূলতা বোঝানো হয়েছে তা উল্লেখ না থাকায় রোগগুলোর সঙ্গে সম্পর্ক নির্ধারণের অপরিহার্য প্রেক্ষাপট অনুপস্থিত।,B,0,B,0,E,1,B,0,,,B,0
326,মানবদেহে শ্বেত রক্ত কণিকার পরিমাণ 4000/dL এর চেয়ে কমে গেলে সেই অবস্থাকে কী বলে?,Lukopenia,Leukemia,Thrombocytopenia,Polycythemia,উত্তর নেই,A,"মানবদেহে শ্বেত রক্তকণিকার পরিমাণ ৪০০০/dL-এর চেয়ে কমে গেলেও যদি মোট লিউকোসাইট সংখ্যা স্বাভাবিক সীমার মধ্যে থাকে, তবে এই পরস্পরবিরোধী অবস্থাকে কী বলা হয়?",Contradiction,"শ্বেত রক্তকণিকার মোট সংখ্যা একই সঙ্গে স্বাভাবিক সীমার মধ্যে এবং নির্ধারিত সীমার নিচে থাকতে পারে না, তাই কোনো নির্দিষ্ট রোগনাম প্রযোজ্য নয়।",E,1,E,1,E,1,E,1,,,E,1
327,সাইনুসাইটিস রোগের প্রধান উপসর্গ কোনটি?,কাশি,বমি,জ্বর,মাথা ব্যাথা,উত্তর নেই,A,উল্লিখিত রোগের প্রধান উপসর্গ কোনটি?,Referential Deletion,কোন রোগের কথা বলা হচ্ছে তা উল্লেখ না থাকায় রোগনির্দিষ্ট প্রধান উপসর্গ নির্ধারণ করা সম্ভব নয়।,E,1,E,1,E,1,E,1,,,E,1
328,নিচের কোনটি মানুষের অক্ষীয় কঙ্কালতন্ত্রের অংশ?,শ্রোণি অস্থিচক্র,বক্ষ অস্থিচক্র,করোটি,ফিমার,উত্তর নেই,C,"মানুষের অক্ষীয় কঙ্কালতন্ত্রের এমন কোন অংশটি নির্বাচন করুন, যা একই সঙ্গে করোটির অন্তর্ভুক্ত এবং করোটির বাইরে অবস্থিত একটি দীর্ঘ অস্থি?",Contradiction,"করোটি অক্ষীয় কঙ্কালের অংশ হলেও এটি করোটির বাইরে অবস্থিত দীর্ঘ অস্থি নয়, ফলে প্রদত্ত কোনো বিকল্পই শর্ত দুটি একসঙ্গে পূরণ করে না।",E,1,E,1,E,1,E,1,,,E,1
329,নিচের কোন অঙ্গে স্থিতিস্থাপক তরুণাস্থি পাওয়া যায়?,বহিঃকর্ণ,অন্তঃকর্ণ,ইউস্টেশিয়ান নালি,উপজিহ্ব,উত্তর নেই,A,উল্লিখিত অঙ্গে স্থিতিস্থাপক তরুণাস্থি পাওয়া যায়—উক্ত অঙ্গটি কোনটি?,Referential Deletion,"প্রশ্নে ‘উল্লিখিত অঙ্গ’-এর কোনো পূর্বসূরি দেওয়া নেই, তাই নির্দিষ্ট অঙ্গ শনাক্ত করে A–D-এর কোনো বিকল্পকে সঠিক বলা যায় না।",E,1,E,1,E,1,B,0,,,A,0
330,মানুষের জিহ্বার সঞ্চালন নিয়ন্ত্রণ করে কোন করোটিক স্নায়ু?,ফেসিয়াল স্নায়ু,হাইপোগ্লোসাল স্নায়ু,অপটিক স্নায়ু,অকুলোমোটর স্নায়ু,উত্তর নেই,B,"যে করোটিক স্নায়ু মানুষের জিহ্বার সঞ্চালন নিয়ন্ত্রণ করে, সেই একই স্নায়ু দৃষ্টিবাহীও—স্নায়ুটির নাম কী?",Contradiction,"জিহ্বার সঞ্চালন হাইপোগ্লোসাল স্নায়ু নিয়ন্ত্রণ করে, আর দৃষ্টিবাহী স্নায়ু হলো অপটিক স্নায়ু—তাই দুটি বৈশিষ্ট্য একই স্নায়ুর ক্ষেত্রে একসঙ্গে প্রযোজ্য নয়।",E,1,E,1,E,1,E,1,,,E,1
331,নিচের কোনটি মেনিনজেসের অংশ নয়?,ড্যুরা ম্যাটার,অ্যারাকনয়েড ম্যাটার,পায়া ম্যাটার,হোয়াইট ম্যাটার,উত্তর নেই,D,"মেনিনজেসের চারটি গঠনগত উপাদান হিসেবে ড্যুরা ম্যাটার, অ্যারাকনয়েড ম্যাটার, পায়া ম্যাটার ও হোয়াইট ম্যাটার—সবকটিকেই অন্তর্ভুক্ত ধরা হলে, নিচের কোনটি মেনিনজেসের অংশ নয়?",Contradiction,"বিশেষজ্ঞ জানেন যে মেনিনজেসের স্বীকৃত স্তর তিনটি এবং হোয়াইট ম্যাটার মেনিনজেসের অংশ নয়, ফলে প্রশ্নের পূর্বধারণা ও চাওয়া উত্তর পরস্পরবিরোধী।",D,0,D,0,E,1,D,0,,,D,0
332,চোখের রেটিনার যে অংশ আলোকসংবেদী নয় তাকে বলে-,পীতবিন্দু,অপটিক স্নায়ু,ফোবিয়া সেন্ট্রালিস,অন্ধবিন্দু,উত্তর নেই,D,উল্লিখিত রেটিনার আলোকসংবেদী নয় এমন নির্দিষ্ট অংশটির নাম কোনটি?,Referent Deletion,"প্রশ্নে ‘উল্লিখিত’ অংশটির কোনো পূর্ববর্তী উল্লেখ নেই, তাই A–D-এর কোনোটিকেই নির্দিষ্টভাবে সঠিক উত্তর হিসেবে নির্ধারণ করা যায় না।",D,0,D,0,D,0,D,0,,,D,0
333,নিচের কোন জোড়াটি লোকাল হরমোনের উদাহরণ?,ইনসুলিন ও অ্যাড্রেনালিন,থাইরক্সিন ও সিক্রিটিন,সিক্রিটিন ও এন্টারোগ্যাস্ট্রিন,ইস্ট্রোজেন ও প্রজেস্টেরন,উত্তর নেই,D,উল্লিখিত সংজ্ঞা অনুযায়ী নিচের কোন জোড়াটি লোকাল হরমোনের উদাহরণ?,Referent Deletion,"লোকাল হরমোনের যে সংজ্ঞা বা শ্রেণিবিন্যাসের কথা বলা হয়েছে তা প্রশ্নে উল্লেখ নেই, ফলে প্রদত্ত কোনো জোড়াকেই নির্দিষ্টভাবে সঠিক বলা যায় না।",C,0,C,0,C,0,C,0,,,C,0
334,মানুষের যকৃতে অবস্থানকারী ম্যাক্রোফেজের নাম কী?,মনোসাইট,কাফফার কোষ,সাইনাস হিস্টোসাইট,নিউট্রোফিল,উত্তর নেই,B,"মানুষের যকৃতে অবস্থানকারী, কিন্তু কেবল প্লীহার লাল পাল্পেই পাওয়া যায়—এমন ম্যাক্রোফেজের নাম কী?",Contradiction,বিশেষজ্ঞ বুঝবেন যে একই ম্যাক্রোফেজকে একই সঙ্গে যকৃতে অবস্থানকারী এবং কেবল প্লীহার লাল পাল্পে সীমাবদ্ধ বলা শারীরস্থানগতভাবে পরস্পরবিরোধী।,B,0,E,1,E,1,B,0,,,E,1
335,ভাইরাসের আক্রমণে শরীরের ভিতরে স্বতঃস্ফূর্তভাবে নিচের কোনটি তৈরি হয়?,এন্টিবডি,ইন্টারফেরন,নিউট্রোফিল,মনোসাইট,উত্তর নেই,B,ভাইরাসের আক্রমণে শরীরের ভিতরে স্বতঃস্ফূর্তভাবে তৈরি হয়ে ভাইরাসের প্রতিলিপি বৃদ্ধি করে—নিচের কোনটি?,Contradiction,"ইন্টারফেরন ভাইরাস-আক্রমণে উৎপন্ন হলেও ভাইরাসের প্রতিলিপি বৃদ্ধি না করে তা দমন করে, তাই কোনো A–D বিকল্পই প্রশ্নটির সঙ্গে সঙ্গতিপূর্ণ নয়।",E,1,B,0,E,1,B,0,,,E,1
336,মানুষের সংখ্যা কোন রক্তগ্রুপে সবচেয়ে বেশি?,A,AB,B,O,উত্তর নেই,D,উল্লিখিত জনগোষ্ঠীতে মানুষের সংখ্যা কোন রক্তগ্রুপে সবচেয়ে বেশি?,Referent Deletion,"কোন জনগোষ্ঠী বোঝানো হয়েছে তা উল্লেখ না থাকায় রক্তগ্রুপের সর্বাধিক প্রচলন নির্ধারণ করা যায় না, কারণ অঞ্চল ও জাতিগত গোষ্ঠীভেদে হার পরিবর্তিত হয়।",E,1,E,1,E,1,E,1,,,E,1
337,হাইড্রার দেহের ক্ষুদ্রতম নেমাটোসিস্ট কোনটি?,স্টেরিওলিন গ্লুটিন্যান্ট,স্ট্রেপটোলিন গ্লুটিন্যান্ট,ভলভেন্ট,স্টিনোটিল,উত্তর নেই,A,উল্লিখিত দেহাংশে অবস্থিত হাইড্রার নেমাটোসিস্টগুলোর মধ্যে কোনটি আকারে ক্ষুদ্রতম?,Referent Deletion,"প্রশ্নে ‘উল্লিখিত দেহাংশ’-এর কোনো পূর্বসূত্র দেওয়া হয়নি, অথচ নেমাটোসিস্টের অবস্থানভেদে উত্তর নির্ধারণ করতে হয়।",E,1,A,0,E,1,E,1,,,C,0
