text,Symptom,Health Condition,Medicine,Specialist,Age,Dosage,Medical Procedure,target_specialist,modified_specialist,modified_sentence
"ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । Tab Monas 10 প্রতি রাতে একটি করে ট্যাবলেট , ৭ - ১০ দিন । এছাড়া একজন অভিজ্ঞ বক্ষব্যাধি বিশেষজ্ঞ এর পরামর্শ নিন । ধন্যবাদ",,,Tab Monas 10,বক্ষব্যাধি বিশেষজ্ঞ,,প্রতি রাতে একটি করে | ৭ - ১০ দিন,,বক্ষব্যাধি বিশেষজ্ঞ,ফুসফুস বিশেষজ্ঞ,"ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । Tab Monas 10 প্রতি রাতে একটি করে ট্যাবলেট , ৭ - ১০ দিন । এছাড়া একজন অভিজ্ঞ ফুসফুস বিশেষজ্ঞ এর পরামর্শ নিন । ধন্যবাদ"
ধন্যবাদ আপনাকে প্রশ্নের জন্য । নেবুলাইজার দিতে পারেন । ভাল হয় একজন শিশু বিশেষজ্ঞ ডাক্তারের পরামর্শ নিন । ধন্যবাদ,,,,শিশু বিশেষজ্ঞ,,,,শিশু বিশেষজ্ঞ,শিশু ফুসফুস বিশেষজ্ঞ,ধন্যবাদ আপনাকে প্রশ্নের জন্য । নেবুলাইজার দিতে পারেন । ভাল হয় একজন শিশু ফুসফুস বিশেষজ্ঞ ডাক্তারের পরামর্শ নিন । ধন্যবাদ
Thanks for asking question . You should give your child ORS 2 table spoon after each defecation . pls consult with a Paeditrician for further evaluation and treatment . Thanks,,,ORS,Paeditrician,,2 table spoon,,Paeditrician,Pediatric gastroenterologist,Thanks for asking question . You should give your child ORS 2 table spoon after each defecation . pls consult with a Pediatric gastroenterologist for further evaluation and treatment . Thanks
Thank you for asking question to Daktarbhai . There Won ' t be any problem . Again Consult a gynaecologist physically . Thanks . ,,,,gynaecologist,,,,gynaecologist,obstetrics specialist,Thank you for asking question to Daktarbhai . There Won ' t be any problem . Again Consult a obstetrics specialist physically . Thanks .
Thanks for questioning daktarbhai . Brush korben shabdhane regularly . Viodin mouth wash gorom panite 1 spoon mixed kore daily tin Bela gurgling korben for 5 days . Eteo na komle Dentist r kache jaben . Thanks,,,,Dentist,,,,Dentist,Oral and maxillofacial surgeon,Thanks for questioning daktarbhai . Brush korben shabdhane regularly . Viodin mouth wash gorom panite 1 spoon mixed kore daily tin Bela gurgling korben for 5 days . Eteo na komle Oral and maxillofacial surgeon r kache jaben . Thanks
Thanks for your question to daktar Bhai . Please take Tab omidon 3 times daily for a week . If you suffer from anxiety pl consult with psychiatrist . Thanks,,,Tab omidon,psychiatrist,,3 times daily for a week,,psychiatrist,clinical psychologist,Thanks for your question to daktar Bhai . Please take Tab omidon 3 times daily for a week . If you suffer from anxiety pl consult with clinical psychologist . Thanks
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি একজন মেডিসিন ডাক্তারের পরামর্শ নিন । ঔষধ গুলো চালিয়ে যান । ধন্যবাদ,,,,মেডিসিন ডাক্তারের,,,,মেডিসিন ডাক্তারের,ইন্টারনাল মেডিসিন বিশেষজ্ঞের,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি একজন ইন্টারনাল মেডিসিন বিশেষজ্ঞের পরামর্শ নিন । ঔষধ গুলো চালিয়ে যান । ধন্যবাদ
Thank you for asking question to Daktarbhai . Pls consult a orthopedics physically . Thanks . ,,,,orthopedics,,,,orthopedics,rheumatologist,Thank you for asking question to Daktarbhai . Pls consult a rheumatologist physically . Thanks .
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । এই ওষুধে যখন কাজ হচ্ছে না তখন না দেখে আর ওষুধ দেয়া ঠিক হবে না । আপনি কোনো ভালো মেডিসিন স্পেশালিস্ট এর পরামর্শ নিন । ,,,,মেডিসিন স্পেশালিস্ট,,,,মেডিসিন স্পেশালিস্ট,জেনারেল ফিজিশিয়ান,ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । এই ওষুধে যখন কাজ হচ্ছে না তখন না দেখে আর ওষুধ দেয়া ঠিক হবে না । আপনি কোনো ভালো জেনারেল ফিজিশিয়ান এর পরামর্শ নিন ।
ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । আপনি একজন চক্ষু বিশেষজ্ঞের পরামর্শ নিন । ধন্যবাদ । ,,,,চক্ষু বিশেষজ্ঞের,,,,চক্ষু বিশেষজ্ঞের,নাক-কান-গলা বিশেষজ্ঞের,ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । আপনি একজন নাক-কান-গলা বিশেষজ্ঞের পরামর্শ নিন । ধন্যবাদ ।
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । আপনি Cap Sergel 20mg সকাল আর রাতে এবং Tab Omidon 10 mg প্রতি বেলা ১ টা করে খাওয়ার আগে খাবেনk এই সমস্যার জন্য কিছু পরীক্ষা ও সরাসরি রোগী দেখে চিকিত্সা প্রয়োজন আপনি সরাসরি একজন Gastroenterologist এর পরামর্শ নিন ধন্যবাদ,,,Cap Sergel 20mg | Tab Omidon 10 mg,Gastroenterologist,,সকাল আর রাতে | প্রতি বেলা ১ টা করে,,Gastroenterologist,Hepatologist,ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । আপনি Cap Sergel 20mg সকাল আর রাতে এবং Tab Omidon 10 mg প্রতি বেলা ১ টা করে খাওয়ার আগে খাবেনk এই সমস্যার জন্য কিছু পরীক্ষা ও সরাসরি রোগী দেখে চিকিত্সা প্রয়োজন আপনি সরাসরি একজন Hepatologist এর পরামর্শ নিন ধন্যবাদ
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার মাথা খুশকির বা চর্ম রোগের কারনে চুল্কাতে পারে । এই কারনে চুলও পরতে পারে । আপনি একজন চর্ম রোগের ডাক্তারের পরামর্শ নিন । সিলেক্ট প্লাস সেম্পু দিয়ে সপ্তাহে ২ বার সেম্পু করতে পারেন । ধন্যবাদ,,খুশকির | চর্ম রোগের,সিলেক্ট প্লাস সেম্পু,চর্ম রোগের ডাক্তারের,,সপ্তাহে ২ বার,,চর্ম রোগের ডাক্তারের,অ্যালার্জি বিশেষজ্ঞের,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার মাথা খুশকির বা চর্ম রোগের কারনে চুল্কাতে পারে । এই কারনে চুলও পরতে পারে । আপনি একজন অ্যালার্জি বিশেষজ্ঞের পরামর্শ নিন । সিলেক্ট প্লাস সেম্পু দিয়ে সপ্তাহে ২ বার সেম্পু করতে পারেন । ধন্যবাদ
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি একজন চক্ষু বিশেষজ্ঞের পরামর্শ নিন । ধন্যবাদ,,,,চক্ষু বিশেষজ্ঞের,,,,চক্ষু বিশেষজ্ঞের,চক্ষু সার্জনের,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি একজন চক্ষু সার্জনের পরামর্শ নিন । ধন্যবাদ
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি পেটে ব্যাথার জন্য এলজিন খেতে পারেন । ডায়াবেটিস এর পরিক্ষা করাতে পারেন । একজন মেডিসিন ডাক্তারের পরামর্শ নিতে পারেন । ধন্যবাদ,,,এলজিন,মেডিসিন ডাক্তারের,,,ডায়াবেটিস এর পরিক্ষা,মেডিসিন ডাক্তারের,গ্যাস্ট্রোএন্টারোলজি বিশেষজ্ঞের,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি পেটে ব্যাথার জন্য এলজিন খেতে পারেন । ডায়াবেটিস এর পরিক্ষা করাতে পারেন । একজন গ্যাস্ট্রোএন্টারোলজি বিশেষজ্ঞের পরামর্শ নিতে পারেন । ধন্যবাদ
ধন্যবাদ আপনার প্রশ্নের জন্য । urinary incontinence বলা হয় এই সমস্যা কে । বিশদ আলোচনার জন্য আপনি একজন গাইনি চিকিৎসকের পরামর্শ নিন । আপনি এই এপের মাধ্যমে ভিডিও কনফারেন্সে চিকিৎসকের পরামর্শ নিতে পারেন । ধন্যবাদ,,urinary incontinence,,গাইনি চিকিৎসকের,,,,গাইনি চিকিৎসকের,ইউরোলজি চিকিৎসক,ধন্যবাদ আপনার প্রশ্নের জন্য । urinary incontinence বলা হয় এই সমস্যা কে । বিশদ আলোচনার জন্য আপনি একজন ইউরোলজি চিকিৎসকের পরামর্শ নিন । আপনি এই এপের মাধ্যমে ভিডিও কনফারেন্সে চিকিৎসকের পরামর্শ নিতে পারেন । ধন্যবাদ
ডাক্তার ভাইতে প্রশ্ন করার জন্যে আপনাকে ধন্যবাদ । tab - Fexo 60 mg 0 + 0 + 1 ৭ দিন । iventi eye drop . ১ ফোটা করে দিনে ৪ বার দিবেন ৭ দিন । একজন চক্ষু বিশেষজ্ঞ চিকিৎসক এর পরামর্শ নিবেন । ,,,tab - Fexo 60 mg | iventi eye drop,চক্ষু বিশেষজ্ঞ,,0 + 0 + 1 | ৭ দিন | ১ ফোটা | ৪ বার | ৭ দিন,,চক্ষু বিশেষজ্ঞ,চক্ষু সার্জন,ডাক্তার ভাইতে প্রশ্ন করার জন্যে আপনাকে ধন্যবাদ । tab - Fexo 60 mg 0 + 0 + 1 ৭ দিন । iventi eye drop . ১ ফোটা করে দিনে ৪ বার দিবেন ৭ দিন । একজন চক্ষু সার্জন চিকিৎসক এর পরামর্শ নিবেন ।
Thank you for your question . Do a ultra sonogram of abdomen . consult . with a surgeon . It might be stone . Thank you . ,,stone,,surgeon,,,ultra sonogram of abdomen,surgeon,urologist,Thank you for your question . Do a ultra sonogram of abdomen . consult . with a urologist . It might be stone . Thank you .
Thanks for your question . Consult a gastro eneterologist . As you have a long term problem . Thanks,,,,gastro eneterologist,,,,gastro eneterologist,hepatologist,Thanks for your question . Consult a hepatologist . As you have a long term problem . Thanks
"1 . Injury to scotrum 2 . Inflammation to scotrum 3 . Infections Also many other causes are there . You need to consult with surgery specialist , for evaluation and treatment . Thanks . ",,,,surgery specialist,,,,surgery specialist,urology specialist,"1 . Injury to scotrum 2 . Inflammation to scotrum 3 . Infections Also many other causes are there . You need to consult with urology specialist , for evaluation and treatment . Thanks ."
"ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । আপনি এই ব্যাপারে সরাসরি মেডিসিন বিশেষজ্ঞ কে দেখিয়ে , কিছু শারীরিক পরীক্ষা করিয়ে , তারপর চিকিৎসা গ্রহণ করুন । ধন্যবাদ",,,,মেডিসিন বিশেষজ্ঞ,,,,মেডিসিন বিশেষজ্ঞ,অভ্যন্তরীণ রোগ বিশেষজ্ঞ,"ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । আপনি এই ব্যাপারে সরাসরি অভ্যন্তরীণ রোগ বিশেষজ্ঞ কে দেখিয়ে , কিছু শারীরিক পরীক্ষা করিয়ে , তারপর চিকিৎসা গ্রহণ করুন । ধন্যবাদ"
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । স্তন বড় হওয়ার অনেক কারন থাকে যেমন ওজন বেড়ে যাওয়া , কিছু ঔষধের পার্শ্বপ্রতিক্রিয়া , হরমনের সমস্যা ইত্যাদি । আপনি একজন মেডিসিন এর ডাক্তারের পরামর্শ নিন । ওজন কমান । ধন্যবাদ",স্তন বড় হওয়ার,,,মেডিসিন এর ডাক্তারের,,,,মেডিসিন এর ডাক্তারের,হরমোন বিশেষজ্ঞের,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । স্তন বড় হওয়ার অনেক কারন থাকে যেমন ওজন বেড়ে যাওয়া , কিছু ঔষধের পার্শ্বপ্রতিক্রিয়া , হরমনের সমস্যা ইত্যাদি । আপনি একজন হরমোন বিশেষজ্ঞের পরামর্শ নিন । ওজন কমান । ধন্যবাদ"
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি ভাত , আলু , রুটি , মিষ্টি , চিনি কম খাবেন । নিয়মিত ব্যায়াম করুন । সঠিক সময়ে ঘুমাবেন । রাত জাগবেন না । দুশ্চিন্তা করবেন না । একজন পুষ্টি বিশেষজ্ঞ কে দেখিয়ে আপনার ওজনের ও উচ্চতার অনুপাতে একটি ডায়েট চার্ট তৈরি করুন । ধন্যবাদ । ",,,,পুষ্টি বিশেষজ্ঞ,,,,পুষ্টি বিশেষজ্ঞ,এন্ডোক্রাইনোলজি বিশেষজ্ঞ,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি ভাত , আলু , রুটি , মিষ্টি , চিনি কম খাবেন । নিয়মিত ব্যায়াম করুন । সঠিক সময়ে ঘুমাবেন । রাত জাগবেন না । দুশ্চিন্তা করবেন না । একজন এন্ডোক্রাইনোলজি বিশেষজ্ঞ কে দেখিয়ে আপনার ওজনের ও উচ্চতার অনুপাতে একটি ডায়েট চার্ট তৈরি করুন । ধন্যবাদ ।"
"ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । বাচ্চাকে দ্রুত দাঁতের ডাক্তারের কাছে নিয়ে যান , দাঁত দেখে পরীক্ষা করে উনি সিদ্ধান্ত নিবেন কি করতে হবে । ধন্যবাদ",,,,দাঁতের ডাক্তারের,,,,দাঁতের ডাক্তারের,অর্থোডন্টিস্টের,"ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । বাচ্চাকে দ্রুত অর্থোডন্টিস্টের কাছে নিয়ে যান , দাঁত দেখে পরীক্ষা করে উনি সিদ্ধান্ত নিবেন কি করতে হবে । ধন্যবাদ"
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । থাইরয়েড সমস্যা থাকলে এমন হতে পারে । কারো ক্ষেত্রে দুশ্চিন্তা থেকে এমন হয় । হার্টের সমস্যা থেকেও হতে পারে । আপনি একজন মেডিসিন ডাক্তার কে দেখান । ধন্যবাদ,,থাইরয়েড সমস্যা,,মেডিসিন ডাক্তার,,,,মেডিসিন ডাক্তার,এন্ডোক্রাইনোলজিস্ট,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । থাইরয়েড সমস্যা থাকলে এমন হতে পারে । কারো ক্ষেত্রে দুশ্চিন্তা থেকে এমন হয় । হার্টের সমস্যা থেকেও হতে পারে । আপনি একজন এন্ডোক্রাইনোলজিস্ট কে দেখান । ধন্যবাদ
ধন্যবাদ আপনাকে প্রশ্নের জন্য । ইনফেকশন হয়ে থাকতে পারে । আপনি সরাসরি একজন নাক কান গলা বিশেষজ্ঞ ডাক্তারের পরামর্শ নিন । ধন্যবাদ,,,,নাক কান গলা বিশেষজ্ঞ,,,,নাক কান গলা বিশেষজ্ঞ,সংক্রামক রোগ বিশেষজ্ঞ,ধন্যবাদ আপনাকে প্রশ্নের জন্য । ইনফেকশন হয়ে থাকতে পারে । আপনি সরাসরি একজন সংক্রামক রোগ বিশেষজ্ঞ ডাক্তারের পরামর্শ নিন । ধন্যবাদ
Thanks for your question to daktar bhai . you can see a child specialist . He will check if she needs any medicine . Thanks,,,,child specialist,,,,child specialist,pediatrician,Thanks for your question to daktar bhai . you can see a pediatrician . He will check if she needs any medicine . Thanks
ডাক্তার ভাইতে প্রশ্ন করার জন্যে আপনাকে ধন্যবাদ । না দেখে আসলে ঠিকভাবে বলা পসিবল না । আপনি একজন গাইনী বিশেষজ্ঞ চিকিৎসক কে দেখিয়ে পরামর্শ নিন । ,,,,গাইনী বিশেষজ্ঞ চিকিৎসক,,,,গাইনী বিশেষজ্ঞ চিকিৎসক,প্রসূতি বিশেষজ্ঞ চিকিৎসক,ডাক্তার ভাইতে প্রশ্ন করার জন্যে আপনাকে ধন্যবাদ । না দেখে আসলে ঠিকভাবে বলা পসিবল না । আপনি একজন প্রসূতি বিশেষজ্ঞ চিকিৎসক কে দেখিয়ে পরামর্শ নিন ।
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি জ্বরের জন্য প্যারাসিটামল একটা বা দুইটা খেতে পারেন । এলার্জির জন্য এলাট্রল জাতীয় ঔষধ রাতে একটা করে খেতে পারেন । পানি বেশি করে পান করুন । একজন মেডিসিন ডাক্তারের পরামর্শ নিতে পারেন । ধন্যবাদ,,এলার্জির,প্যারাসিটামল | এলাট্রল,মেডিসিন ডাক্তারের,,,,মেডিসিন ডাক্তারের,অ্যালার্জি বিশেষজ্ঞের,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি জ্বরের জন্য প্যারাসিটামল একটা বা দুইটা খেতে পারেন । এলার্জির জন্য এলাট্রল জাতীয় ঔষধ রাতে একটা করে খেতে পারেন । পানি বেশি করে পান করুন । একজন অ্যালার্জি বিশেষজ্ঞের পরামর্শ নিতে পারেন । ধন্যবাদ
Thank you for asking question to Daktarbhai . Pls consult a cardiologist . Thank you . ,,,,cardiologist,,,,cardiologist,pulmonologist,Thank you for asking question to Daktarbhai . Pls consult a pulmonologist . Thank you .
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার ছেলেকে চোখের ডাক্তার দেখান । নাক বন্ধ থাকলে গরম বাতাসের ভাপ নিতে পারেন । একজন নাক কান গলা বিশেষজ্ঞ কে দেখান । ধন্যবাদ । ,,,,নাক কান গলা বিশেষজ্ঞ,,,,নাক কান গলা বিশেষজ্ঞ,অ্যালার্জি বিশেষজ্ঞ,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার ছেলেকে চোখের ডাক্তার দেখান । নাক বন্ধ থাকলে গরম বাতাসের ভাপ নিতে পারেন । একজন অ্যালার্জি বিশেষজ্ঞ কে দেখান । ধন্যবাদ ।
প্রশ্ন করার জন্য ধন্যবাদ । আপনার যেহেতু অনেক ধরনের সমস্যা আছে আপনার আরও বিস্তারিত তথ্য জানা প্রয়োজন এবং আপনি একজন বাত রোগ বিশেষজ্ঞ ডাক্তার দেখান । ধন্যবাদ । ,,,,বাত রোগ বিশেষজ্ঞ,,,,বাত রোগ বিশেষজ্ঞ,অস্থিরোগ বিশেষজ্ঞ,প্রশ্ন করার জন্য ধন্যবাদ । আপনার যেহেতু অনেক ধরনের সমস্যা আছে আপনার আরও বিস্তারিত তথ্য জানা প্রয়োজন এবং আপনি একজন অস্থিরোগ বিশেষজ্ঞ ডাক্তার দেখান । ধন্যবাদ ।
ডাক্তার ভাইতে প্রশ্ন করার জন্যে আপনাকে ধন্যবাদ । নাক বন্ধ থাকার জন্যে norsol nasal drop ১ - ২ ফোটা করে প্রয়োজন মত ব্যবহার করুন । একজন শিশু বিশেষজ্ঞ চিকিৎসক এর পরামর্শ নিবেন । ,নাক বন্ধ,,norsol nasal,শিশু বিশেষজ্ঞ,,drop ১ - ২ ফোটা করে প্রয়োজন মত,,শিশু বিশেষজ্ঞ,নাক-কান-গলা বিশেষজ্ঞ,ডাক্তার ভাইতে প্রশ্ন করার জন্যে আপনাকে ধন্যবাদ । নাক বন্ধ থাকার জন্যে norsol nasal drop ১ - ২ ফোটা করে প্রয়োজন মত ব্যবহার করুন । একজন নাক-কান-গলা বিশেষজ্ঞ চিকিৎসক এর পরামর্শ নিবেন ।
I m an advocate . Two years back . ENT specialist advised me I have suffering from Long Evula then prescribed some medicine then i cured . Three months ago I further attacked Khush kushi disease . Tele doctor advised Fimoxeclav - 625 + Tel fast + Sargel . I take this medicine but no cure and I am suffering Kush Kushi disease seriously . What can I do now ? ,,Long Evula | Khush kushi disease | Kush Kushi disease,Fimoxeclav - 625 + Tel fast + Sargel,ENT specialist,,,,ENT specialist,otolaryngologist,I m an advocate . Two years back . otolaryngologist advised me I have suffering from Long Evula then prescribed some medicine then i cured . Three months ago I further attacked Khush kushi disease . Tele doctor advised Fimoxeclav - 625 + Tel fast + Sargel . I take this medicine but no cure and I am suffering Kush Kushi disease seriously . What can I do now ?
ডাক্তার ভাইতে প্রশ্ন করার জন্য আপনাকে ধন্যবাদ । এটা এমনিতেই হতে পারে । একজন হরমোন বিশেষজ্ঞ চিকিৎসক এর পরামর্শ নিবেন । ,,,,হরমোন বিশেষজ্ঞ,,,,হরমোন বিশেষজ্ঞ,এন্ডোক্রাইনোলজি বিশেষজ্ঞ,ডাক্তার ভাইতে প্রশ্ন করার জন্য আপনাকে ধন্যবাদ । এটা এমনিতেই হতে পারে । একজন এন্ডোক্রাইনোলজি বিশেষজ্ঞ চিকিৎসক এর পরামর্শ নিবেন ।
Thank you for your question You can take tab . Calbo D 0 + 1 + 0 for 1month . This might be due nerve compression also . Tests and examination are required for diagnosis . Please consult with a medicine specialist and act accordingly . Thank you,,nerve compression,Calbo D,medicine specialist,,0 + 1 + 0,,medicine specialist,neurologist,Thank you for your question You can take tab . Calbo D 0 + 1 + 0 for 1month . This might be due nerve compression also . Tests and examination are required for diagnosis . Please consult with a neurologist and act accordingly . Thank you
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি পা গরম পানিতে সেক দিন । ব্যাথার জন্য প্যারাসিটামল খেতে পারেন । একজন ফিজিক্যাল মেডিসিন ডাক্তারের পরামর্ষ নিন । ধন্যবাদ,ব্যাথার,,প্যারাসিটামল,ফিজিক্যাল মেডিসিন ডাক্তারের,,,,ফিজিক্যাল মেডিসিন ডাক্তারের,অর্থোপেডিক ডাক্তারের,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি পা গরম পানিতে সেক দিন । ব্যাথার জন্য প্যারাসিটামল খেতে পারেন । একজন অর্থোপেডিক ডাক্তারের পরামর্ষ নিন । ধন্যবাদ
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি থাইরয়েড পরীক্ষা করিয়ে দেখতে পারেন কোনো সমস্যা আছে কিনা তা দেখুন । রিপোর্ট সহ একজন হরমনের ডাক্তার কে দেখিয়ে নিন । পানি বেশি করে পান করুন । ধন্যবাদ । ,,,,হরমনের ডাক্তার,,,থাইরয়েড পরীক্ষা,হরমনের ডাক্তার,থাইরয়েড বিশেষজ্ঞ,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি থাইরয়েড পরীক্ষা করিয়ে দেখতে পারেন কোনো সমস্যা আছে কিনা তা দেখুন । রিপোর্ট সহ একজন থাইরয়েড বিশেষজ্ঞ কে দেখিয়ে নিন । পানি বেশি করে পান করুন । ধন্যবাদ ।
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার প্রেশার স্বাভাবিক প্রেশার এর সর্বোচ্চ অবস্থায় আছে । আপনার যদি কোনো রোগের লক্ষন না থাকে আপনি কিছু দিন খাদ্যাভ্যাস পরিবর্তন , নিয়মিত ব্যায়াম , সঠিক সময়ে ঘুমের অভ্যাস ইত্যাদি করে চেষ্টা করে দেখতে পারেন প্রশার নিয়ন্ত্রণ হয় কিনা । নিয়ন্ত্রনে না আসলে একজন মেডিসিনের ডাক্তারের পরামর্শ নিতে পারেন । ধনবাদ",,প্রেশার,,মেডিসিনের ডাক্তারের,,,,মেডিসিনের ডাক্তারের,হৃদরোগ বিশেষজ্ঞের,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার প্রেশার স্বাভাবিক প্রেশার এর সর্বোচ্চ অবস্থায় আছে । আপনার যদি কোনো রোগের লক্ষন না থাকে আপনি কিছু দিন খাদ্যাভ্যাস পরিবর্তন , নিয়মিত ব্যায়াম , সঠিক সময়ে ঘুমের অভ্যাস ইত্যাদি করে চেষ্টা করে দেখতে পারেন প্রশার নিয়ন্ত্রণ হয় কিনা । নিয়ন্ত্রনে না আসলে একজন হৃদরোগ বিশেষজ্ঞের পরামর্শ নিতে পারেন । ধনবাদ"
"প্রফেসর < NAME > , শিশু সার্জেন্ট এনার অ্যাপোয়েন্টমেন্ট কিভাবে নেব ? ",,,,শিশু সার্জেন্ট,,,,শিশু সার্জেন্ট,শিশু বিশেষজ্ঞ,"প্রফেসর < NAME > , শিশু বিশেষজ্ঞ এনার অ্যাপোয়েন্টমেন্ট কিভাবে নেব ?"
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । syp Ambrox ৮ ফোটা করে দিনে ২বার . . . . ৭দিন । অন্তত আরো ৩দিন দেখুন । এর মধ্যে অবস্থার উন্নতি না হলে শিশু বিশেষজ্ঞের পরামর্শ নিন । ,,,Ambrox,বিশেষজ্ঞের,,৮ ফোটা করে দিনে ২বার . . . . ৭দিন,,বিশেষজ্ঞের,বক্ষব্যাধি বিশেষজ্ঞ,ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । syp Ambrox ৮ ফোটা করে দিনে ২বার . . . . ৭দিন । অন্তত আরো ৩দিন দেখুন । এর মধ্যে অবস্থার উন্নতি না হলে বক্ষব্যাধি বিশেষজ্ঞের পরামর্শ নিন ।
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । যেহেতু ওনার সমস্যাটি দীর্ঘদিনের এবং তা ওনার দৈনন্দিন কাজকর্মে ব্যাঘাত ঘটাচ্ছে , তাই এর বিস্তারিত ইতিহাস জেনে , কিছু পরীক্ষা নিরীক্ষা করে , এর মাধ্যমে এই ব্যাথার সঠিক কারণ নির্নয় করে এর সমাধান করতে হবে । আপনি একজন Orthopedics বিশেষজ্ঞের সাথে পরামর্শ করুন । ধন্যবাদ । ",,,,Orthopedics বিশেষজ্ঞের,,,,Orthopedics বিশেষজ্ঞের,রিউমাটোলজি বিশেষজ্ঞের,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । যেহেতু ওনার সমস্যাটি দীর্ঘদিনের এবং তা ওনার দৈনন্দিন কাজকর্মে ব্যাঘাত ঘটাচ্ছে , তাই এর বিস্তারিত ইতিহাস জেনে , কিছু পরীক্ষা নিরীক্ষা করে , এর মাধ্যমে এই ব্যাথার সঠিক কারণ নির্নয় করে এর সমাধান করতে হবে । আপনি একজন রিউমাটোলজি বিশেষজ্ঞের সাথে পরামর্শ করুন । ধন্যবাদ ।"
ডাক্তারভাইকে প্রশ্ন করার জন্য ধন্যবাদ । Lulizole cream - - আক্রান্ত স্থানে দিনে ২ বার দিবেন - - - - - 15 days Tab . Deslor 5mg - - - 0 + 0 + 1 - - - - 15 days Dancare Shampoo - - - - আক্রান্ত স্থানে লাগিয়ে ১০ মিনিট পর ধুয়ে ফেলবেন - - - 15 days Prescription টি follow করুন । সেই সাথে অবশ্যই দ্রুত একজন Dermatologist এর পরামর্শ নিন । ধন্যবাদ,,,Lulizole cream | Tab . Deslor 5mg | Dancare Shampoo,Dermatologist,,দিনে ২ বার | 0 + 0 + 1,,Dermatologist,চর্মরোগ বিশেষজ্ঞ,ডাক্তারভাইকে প্রশ্ন করার জন্য ধন্যবাদ । Lulizole cream - - আক্রান্ত স্থানে দিনে ২ বার দিবেন - - - - - 15 days Tab . Deslor 5mg - - - 0 + 0 + 1 - - - - 15 days Dancare Shampoo - - - - আক্রান্ত স্থানে লাগিয়ে ১০ মিনিট পর ধুয়ে ফেলবেন - - - 15 days Prescription টি follow করুন । সেই সাথে অবশ্যই দ্রুত একজন চর্মরোগ বিশেষজ্ঞ এর পরামর্শ নিন । ধন্যবাদ
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি একজন মানসিক রোগ বিশেষজ্ঞ কে দেখান । বেশি ঘুমের ঔষধ খাওয়া মোটেও ভাল কিছুনা । ধন্যবাদ,,,,মানসিক রোগ বিশেষজ্ঞ,,,,মানসিক রোগ বিশেষজ্ঞ,স্নায়ুরোগ বিশেষজ্ঞ,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি একজন স্নায়ুরোগ বিশেষজ্ঞ কে দেখান । বেশি ঘুমের ঔষধ খাওয়া মোটেও ভাল কিছুনা । ধন্যবাদ
