text,Medicine,modified_text,correct_pair,incorrect_pair
"বাচ্চাদের একটা টিকা দেওয়ার ২৮ দিনের মাঝে যে টিকা দিয়েছি ( ওই টিকার পরের ডোজ ) ব্যতীত অন্য কোনো টিকা দেওয়া যাবে কি ? ? ? যেমন , , আজ পেন্টা , ওপিভি , পিসিভি টিকা দেওয়ার ১০ / ১৫ দিন পর রোটাভাইরাস এর টিকা দেওয়া যাবে কি ? ? ? ",টিকা | টিকা | টিকার | টিকা | পেন্টা | ওপিভি | পিসিভি টিকা | রোটাভাইরাস এর টিকা,"বাচ্চাদের একটা টিকা দেওয়ার ২৮ দিনের মাঝে যে টিকা দিয়েছি ( ওই টিকার পরের ডোজ ) ব্যতীত অন্য কোনো টিকা দেওয়া যাবে কি ? ? ? যেমন , , আজ পেন্টা , ওপিভি , পিসিভি টিকা দেওয়ার ১০ / ১৫ দিন পর হেপাটাইটিস বি এর টিকা দেওয়া যাবে কি ? ? ?",0,1
Hater angul kete gele kon creame use kora jabe ? ? ? ,creame,Hater angul kete gele kon mupirocin use kora jabe ? ? ?,0,0
Thanks for asking question . You can take Tab . Ace 500 mg when you have fever or pain 6 hry with food . 7 days . For cold take Tab . fexo120mg at night - 7 days,Tab . Ace 500 mg | Tab . fexo120mg,Thanks for asking question . You can take Tab . Ibuprofen 400 mg when you have fever or pain 6 hry with food . 7 days . For cold take Tab . fexo120mg at night - 7 days,1,0
"ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । Tab Monas 10 , 0 + 0 + 1 , 7 days Syrup Adovas , 2 spoon , 3 times , 7 days . গরম পানি ও লবণ দিয়ে তিন থেকে চার বেলা গড়গড়া করবেন । ধন্যবাদ",Tab Monas 10 | Syrup Adovas,"ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । Tab Monas 10 , 0 + 0 + 1 , 7 days Syrup Bromhexine , 2 spoon , 3 times , 7 days . গরম পানি ও লবণ দিয়ে তিন থেকে চার বেলা গড়গড়া করবেন । ধন্যবাদ",1,0
"আসসালামু আলাইকুম , আমার বাচ্চার বয়স ৩ মাস ২০ দিন । আজ বিকাল থেকে তার পয়খানায় সমস্যা হচ্ছে । ৩ . ৩০ থেকে ৯ . ০০ পর্যন্ত ৪ বার পায়খানা করেছে । এবং পায়খানা কিছুটা পিছলা অথবা তৈলাক্ত । কিছু দিন আগে তাকে ডাক্তার দেখিয়েছিলাম তার পায়খানা না হবার কারণে । ডাক্তারের পরামর্শে মুটিগাড , ফ্রাগল , বিপ্লেক্স খাওয়ানো হচ্ছে । আমার বাড়ি প্রত্যন্ত এলাকায় হওয়ায় এখন তাকে ডাক্তারের কাছে নিয়ে যাওয়া সম্বব না । বর্তমান পরিস্থিতিতে আমি কি করতে পারি । তাকে কি কোন ঔষধ খাওয়ানো যাবে ? প্লিজ দয়া করে জানাবেন । ",মুটিগাড | ফ্রাগল | বিপ্লেক্স,"আসসালামু আলাইকুম , আমার বাচ্চার বয়স ৩ মাস ২০ দিন । আজ বিকাল থেকে তার পয়খানায় সমস্যা হচ্ছে । ৩ . ৩০ থেকে ৯ . ০০ পর্যন্ত ৪ বার পায়খানা করেছে । এবং পায়খানা কিছুটা পিছলা অথবা তৈলাক্ত । কিছু দিন আগে তাকে ডাক্তার দেখিয়েছিলাম তার পায়খানা না হবার কারণে । ডাক্তারের পরামর্শে মোটিলিয়াম , ফ্রাগল , বিপ্লেক্স খাওয়ানো হচ্ছে । আমার বাড়ি প্রত্যন্ত এলাকায় হওয়ায় এখন তাকে ডাক্তারের কাছে নিয়ে যাওয়া সম্বব না । বর্তমান পরিস্থিতিতে আমি কি করতে পারি । তাকে কি কোন ঔষধ খাওয়ানো যাবে ? প্লিজ দয়া করে জানাবেন ।",1,1
ডেল্টা কটের কাজ কি হাত পায়ের পানি কমানো ? এটা কি যে কেউ খেতে পারবে,ডেল্টা কটের,ডেক্সামেথাসোনের কাজ কি হাত পায়ের পানি কমানো ? এটা কি যে কেউ খেতে পারবে,0,0
"ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । Fungidal HC Ointment , চুলকানির রাস্তায় ব্যবহার করবেন , দিনে ২ - ৩ বার । লবণ , গরম পানি দিয়ে প্রসাবের রাস্তা পরিষ্কার করবেন , দুই থেকে তিনবার । মেলামেশার সময় কনডম ব্যবহার করবেন । ধন্যবাদ",Fungidal HC Ointment,"ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । Canesten HC Ointment , চুলকানির রাস্তায় ব্যবহার করবেন , দিনে ২ - ৩ বার । লবণ , গরম পানি দিয়ে প্রসাবের রাস্তা পরিষ্কার করবেন , দুই থেকে তিনবার । মেলামেশার সময় কনডম ব্যবহার করবেন । ধন্যবাদ",0,0
vita - d ki weight gain koray janaben please . ,vita - d ki,calbo - d ki weight gain koray janaben please .,1,0
আমার ওয়াইফের লিভারে ফ্যাট ও লিভারে ইনফেকশন ও হালকা ব্যাথা আছে এর আগে ডাক্তার দেখানোর পর ঊষধ দিয়েছিল ডন A রসুবা 5 আর নিয়মিত হাটাচলা ও খাবার নিয়ন্তন করা কিছুদিন ভাল ছিল এখন আবার লিভারে ব্যাথা হচ্ছে এখন কি করব দয়া করে বলবেন,ডন A রসুবা 5,আমার ওয়াইফের লিভারে ফ্যাট ও লিভারে ইনফেকশন ও হালকা ব্যাথা আছে এর আগে ডাক্তার দেখানোর পর ঊষধ দিয়েছিল অ্যাটোরভা 10 আর নিয়মিত হাটাচলা ও খাবার নিয়ন্তন করা কিছুদিন ভাল ছিল এখন আবার লিভারে ব্যাথা হচ্ছে এখন কি করব দয়া করে বলবেন,1,0
"ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । Ambolyt Paediatric drop , 0 . 5ml , দুই বেলা , পাঁচ থেকে সাত দিন , খাওয়াতে পারেন । Omidon Paediatric drop , 0 . 2ml , তিন বেলা তিন থেকে পাঁচ দিন খাওয়াতে পারেন । অবস্থা সংকটাপন্ন মনে হলে বাচ্চাকে সরাসরি ডাক্তারের কাছে নিয়ে চিকিৎসা গ্রহণ করবেন । ধন্যবাদ","Ambolyt Paediatric drop , 0 . 5ml | Omidon Paediatric drop , 0 . 2ml","ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । Bromhexine Paediatric drop , 0 . 5ml , দুই বেলা , পাঁচ থেকে সাত দিন , খাওয়াতে পারেন । Omidon Paediatric drop , 0 . 2ml , তিন বেলা তিন থেকে পাঁচ দিন খাওয়াতে পারেন । অবস্থা সংকটাপন্ন মনে হলে বাচ্চাকে সরাসরি ডাক্তারের কাছে নিয়ে চিকিৎসা গ্রহণ করবেন । ধন্যবাদ",0,0
"ধন্যবাদ আপনাকে প্রশ্ন করার জন্য । আপনি তরল খাবার , স্যালাইন , পানি খাবেন । আপনি টক ফল , সিভিট খান । গরম পানি খাবেন একটু পর পর । মাথায় পানি দিবেন , গা মুছবেন । জ্বর ১০০ ডিগ্রির উপরে উঠলে নাপা খাবেন । ১০২ এর উপরে উঠলে সাপোসিটর দিবেন । ভাইরাল জরে এন্টিবায়োটিকের কাজ নেই । ধন্যবাদ",স্যালাইন | সিভিট | নাপা | সাপোসিটর | এন্টিবায়োটিকের,"ধন্যবাদ আপনাকে প্রশ্ন করার জন্য । আপনি তরল খাবার , স্যালাইন , পানি খাবেন । আপনি টক ফল , সিভিট খান । গরম পানি খাবেন একটু পর পর । মাথায় পানি দিবেন , গা মুছবেন । জ্বর ১০০ ডিগ্রির উপরে উঠলে আইবুপ্রোফেন খাবেন । ১০২ এর উপরে উঠলে সাপোসিটর দিবেন । ভাইরাল জরে এন্টিবায়োটিকের কাজ নেই । ধন্যবাদ",1,0
santogen ei medicin ta kiser r keno khay bolen please,santogen,supradyn ei medicin ta kiser r keno khay bolen please,1,1
ji bomir tablat khala koma jay ami domiron khai,bomir tablat | domiron,ji bomir tablat khala koma jay ami ondansetron khai,1,0
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । গরম পানিতে সামান্য লবন ফেলে দিয়ে গড়গড়া করবেন দিনে তিন বার , Syp . Hunycof ২ চামচ দিনে তিন বার খাবেন তিন দিন । ব্যাথা বেশি হলে Reset 500mg খেতে পারেন । ধন্যবাদ । ",Syp . Hunycof | Reset 500mg,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । গরম পানিতে সামান্য লবন ফেলে দিয়ে গড়গড়া করবেন দিনে তিন বার , Syp . Hunycof ২ চামচ দিনে তিন বার খাবেন তিন দিন । ব্যাথা বেশি হলে Napa 500mg খেতে পারেন । ধন্যবাদ ।",0,1
Hello . Recently amr face a akta problem hocce . Jekhane chap dari thake oi area and eyebrows er ashey pashey dandruff er moton kicu hocce regular . ecara naker pashe pashe r kaner lotir moddheo hocce . ullekkho je Amr face a dari nei . Eta chulkay r dandruff er moton hye thakey . soap diye dhouile halka jay but sompurno jayna . abr skin chulkay r khoshkhoshey hye thakey . Eta jonno ki korte pari please janaben Note : 1 . 5 month agey amr jor hyecilo tar por theke doctor er prescription onujai Cicloson Nasal spray use korteci . dine dui bar 2 month use korte bolce . etar sathey kono problem ace kina janaben . ,Cicloson Nasal spray,Hello . Recently amr face a akta problem hocce . Jekhane chap dari thake oi area and eyebrows er ashey pashey dandruff er moton kicu hocce regular . ecara naker pashe pashe r kaner lotir moddheo hocce . ullekkho je Amr face a dari nei . Eta chulkay r dandruff er moton hye thakey . soap diye dhouile halka jay but sompurno jayna . abr skin chulkay r khoshkhoshey hye thakey . Eta jonno ki korte pari please janaben Note : 1 . 5 month agey amr jor hyecilo tar por theke doctor er prescription onujai Fluticasone Nasal spray use korteci . dine dui bar 2 month use korte bolce . etar sathey kono problem ace kina janaben .,1,0
আমার মেয়ের বয়স 1 বছর 7 দিন ধরে খুশখুশে কাশি Ambrox syrup খাইয়েছি কফ বের হয় না কাশি ও কমতেছে না 2 দিন ধরে সর্দি কি ঔষধ খাওয়াব দয়া করে জানালে খুব উপকৃত হব । ,Ambrox syrup,আমার মেয়ের বয়স 1 বছর 7 দিন ধরে খুশখুশে কাশি Bromhexine syrup খাইয়েছি কফ বের হয় না কাশি ও কমতেছে না 2 দিন ধরে সর্দি কি ঔষধ খাওয়াব দয়া করে জানালে খুব উপকৃত হব ।,1,1
"আমার স্ত্রির প্রায় মাথা ব্যথা হয় , তার জন্য ace + খাইলে কমে জায় এতে করে কি পরবর্তিতে কোন সমস্যা হবে",ace +,"আমার স্ত্রির প্রায় মাথা ব্যথা হয় , তার জন্য Napa Extra খাইলে কমে জায় এতে করে কি পরবর্তিতে কোন সমস্যা হবে",1,1
"স্যার ( ডাঃ < NAME > ) কমোরের জালা যন্ত্রণার জন্য আপনার পরামর্শ অনুযায়ী ক্যালবো ডি এবং নিউরো বি চলছে , কিন্তু স্যার কোন উপশম এর লক্ষন নেই বরং পায়ের অগ্র ভাগের উপর দিয়ে চর্মরোগ এর ন্যায় নতুন উপসর্গ দেখা দিয়েছে যাতে কোন কিছুর স্পর্শ পেলে প্রচন্ড জলে যাচ্ছে । স্যার কি করব ভেবে পাচ্ছিনা ? ",ক্যালবো ডি | নিউরো বি,"স্যার ( ডাঃ < NAME > ) কমোরের জালা যন্ত্রণার জন্য আপনার পরামর্শ অনুযায়ী শেলক্যাল এবং নিউরো বি চলছে , কিন্তু স্যার কোন উপশম এর লক্ষন নেই বরং পায়ের অগ্র ভাগের উপর দিয়ে চর্মরোগ এর ন্যায় নতুন উপসর্গ দেখা দিয়েছে যাতে কোন কিছুর স্পর্শ পেলে প্রচন্ড জলে যাচ্ছে । স্যার কি করব ভেবে পাচ্ছিনা ?",1,0
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । norsol drop ১ফোটা করে উভয় নাকে দিনে ৪বার । ,norsol drop,ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । nasomist drop ১ফোটা করে উভয় নাকে দিনে ৪বার ।,1,1
Thanks for questioning to daktervai . For Acne you have to drink plenty of water . Tab azith 500mg 0 + 1 + 0 for 5 days . Wash your face 3 hourly with water daily . Use any well known brand oil free face wash,Tab azith 500mg,Thanks for questioning to daktervai . For Acne you have to drink plenty of water . Tab doxycycline 100mg 0 + 1 + 0 for 5 days . Wash your face 3 hourly with water daily . Use any well known brand oil free face wash,1,0
"আসছালামু আলাইকুম , , আামার স্ত্রী বর্তমানে প্রায় তিন মাসের অন্তঃসত্ত্বা গতকাল থেকে পেট ফাপ দিয়ে আছে ও খাবার খেতে পারছে না । এখন গ্যাস্ট্রিকের ঔষদ খেতে চায় , সেই খেক্ষে কি ঔষদ এবং কোন গ্যাস্ট্রিকের ঔষদ সেবন করা যাবে , , ",গ্যাস্ট্রিকের ঔষদ | গ্যাস্ট্রিকের ঔষদ,"আসছালামু আলাইকুম , , আামার স্ত্রী বর্তমানে প্রায় তিন মাসের অন্তঃসত্ত্বা গতকাল থেকে পেট ফাপ দিয়ে আছে ও খাবার খেতে পারছে না । এখন ওমিপ্রাজল খেতে চায় , সেই খেক্ষে কি ঔষদ এবং কোন গ্যাস্ট্রিকের ঔষদ সেবন করা যাবে , ,",0,1
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি জ্বরের জন্য প্যারাসিটামল একটা বা দুইটা খেতে পারেন । এলার্জির জন্য এলাট্রল জাতীয় ঔষধ রাতে একটা করে খেতে পারেন । পানি বেশি করে পান করুন । একজন মেডিসিন ডাক্তারের পরামর্শ নিতে পারেন । ধন্যবাদ,প্যারাসিটামল | এলাট্রল,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি জ্বরের জন্য আইবুপ্রোফেন একটা বা দুইটা খেতে পারেন । এলার্জির জন্য এলাট্রল জাতীয় ঔষধ রাতে একটা করে খেতে পারেন । পানি বেশি করে পান করুন । একজন মেডিসিন ডাক্তারের পরামর্শ নিতে পারেন । ধন্যবাদ,1,0
"আজ সকাল থেকে ঘাড়ের ডান পাশে এবং পিঠে হাতের জয়েন্টের জায়গায় প্রচুর ব্যাথা , ঘাড় ঘোরাতেও অনেক সমস্যা হচ্ছে । একটা ন্যাপ্রোক্সেন প্লাস খেয়েছি কিন্তু একটুও ব্যাথা কমেনি । এখন কি করতে পারি ? ",ন্যাপ্রোক্সেন প্লাস,"আজ সকাল থেকে ঘাড়ের ডান পাশে এবং পিঠে হাতের জয়েন্টের জায়গায় প্রচুর ব্যাথা , ঘাড় ঘোরাতেও অনেক সমস্যা হচ্ছে । একটা ডাইক্লোফেনাক খেয়েছি কিন্তু একটুও ব্যাথা কমেনি । এখন কি করতে পারি ?",0,1
ধন্যবাদ আপনাকে প্রশ্ন করার জন্য । এন্টিবায়োটিক ডাক্তারের পরামর্শ ছাড়া খাওয়া যাবেনা । শুধু নাপা খাওাতে পারবেন । ধন্যবাদ,এন্টিবায়োটিক | নাপা,ধন্যবাদ আপনাকে প্রশ্ন করার জন্য । এন্টিবায়োটিক ডাক্তারের পরামর্শ ছাড়া খাওয়া যাবেনা । শুধু আইবুপ্রোফেন খাওাতে পারবেন । ধন্যবাদ,0,0
"Novophane anti hair loss lotion ব্যাবহার করার আগে বা পরে চুলে তেল ব্যবহার করা যাবে ? ? এই লোশন ব্যবহারকালে চুলে নারিকেল তেল , অলিভ অয়েল বা অন্য কোন তেল ব্যবহার করলে কি সমস্যা হবে ? ",Novophane anti hair loss lotion,"Minoxidil lotion ব্যাবহার করার আগে বা পরে চুলে তেল ব্যবহার করা যাবে ? ? এই লোশন ব্যবহারকালে চুলে নারিকেল তেল , অলিভ অয়েল বা অন্য কোন তেল ব্যবহার করলে কি সমস্যা হবে ?",1,1
"ডাক্তার ভাইকের প্রশ্ন করার জন্য ধন্যবাদ । টয়লেট ক্লিয়ার করার জন্য আপনার স্ত্রী Milk of Magnesia দুই চামচ প্রতিদিন রাতে পাঁচদিন খেতে পারেন । এছাড়া প্রচুর পরিমাণে পানি , শাক - সবজি , পাকা কলা , নরম ও সহজপাচ্য খাবার খাবেন । শরীরে রক্তের পরিমাণ অর্থাৎ হিমোগ্লোবিনের পরিমাণ কম থাকলে Cap Feofol CI প্রতিদিন একটা করে 15 দিন খেতে পারেন । দৈনিক ডিম , দুধ , পাকা কলা এবং বেশি করে শাকসবজি খান । এতে পায়খানা সহজ হবে , শরীরে রক্তের পরিমাণ স্বাভাবিক থাকবে । ধন্যবাদ । ",Milk of Magnesia | Cap Feofol CI,"ডাক্তার ভাইকের প্রশ্ন করার জন্য ধন্যবাদ । টয়লেট ক্লিয়ার করার জন্য আপনার স্ত্রী ল্যাকটুলোজ দুই চামচ প্রতিদিন রাতে পাঁচদিন খেতে পারেন । এছাড়া প্রচুর পরিমাণে পানি , শাক - সবজি , পাকা কলা , নরম ও সহজপাচ্য খাবার খাবেন । শরীরে রক্তের পরিমাণ অর্থাৎ হিমোগ্লোবিনের পরিমাণ কম থাকলে Cap Feofol CI প্রতিদিন একটা করে 15 দিন খেতে পারেন । দৈনিক ডিম , দুধ , পাকা কলা এবং বেশি করে শাকসবজি খান । এতে পায়খানা সহজ হবে , শরীরে রক্তের পরিমাণ স্বাভাবিক থাকবে । ধন্যবাদ ।",1,1
suffering from pain in knee and back of ma za it occurs time to time . in the meantime i use d febustat40 1yr back . now I want ur valuable advice . ,d febustat40,suffering from pain in knee and back of ma za it occurs time to time . in the meantime i use allopurinol 1yr back . now I want ur valuable advice .,0,1
"স্যার আমার ৩ সপ্তাহ আগে হারপিস জোস্টার হয়েছিল , প্রথম অবস্থায় পেটের বাম দিকে কিছু ফোসকা উঠেছিল লোকাল ডাক্তার দেখালে উনি বাইরাক্স টেবলট এবং বাইরাক্স ক্রিম ব্যাবহার করতে বলেন , এখন ঐ ওষুধ প্রয়োগ করে ফোসকা চলে গেছে কিন্তু চামড়ার ব্যাথা ও জ্বালাপোড়া কমতেছেনা । এই অবস্থায় কি করণীয় ? ",বাইরাক্স টেবলট | বাইরাক্স ক্রিম,"স্যার আমার ৩ সপ্তাহ আগে হারপিস জোস্টার হয়েছিল , প্রথম অবস্থায় পেটের বাম দিকে কিছু ফোসকা উঠেছিল লোকাল ডাক্তার দেখালে উনি ভ্যালাসাইক্লোভির টেবলট এবং বাইরাক্স ক্রিম ব্যাবহার করতে বলেন , এখন ঐ ওষুধ প্রয়োগ করে ফোসকা চলে গেছে কিন্তু চামড়ার ব্যাথা ও জ্বালাপোড়া কমতেছেনা । এই অবস্থায় কি করণীয় ?",1,1
ডাক্তার ভাইতে প্রশ্ন করার জন্যে আপনাকে ধন্যবাদ । Tab - neuro B 1 + 0 + 1 ১ মাস tab - Ciprocin 500 mg 1 + 0 + 1 ৭ দিন খাওয়াবেন । ,Tab - neuro B | tab - Ciprocin 500 mg,ডাক্তার ভাইতে প্রশ্ন করার জন্যে আপনাকে ধন্যবাদ । Tab - neuro B 1 + 0 + 1 ১ মাস tab - Levofloxacin 500 mg 1 + 0 + 1 ৭ দিন খাওয়াবেন ।,1,1
ডাক্তার ভাইতে প্রশ্ন করার জন্যে আপনাকে ধন্যবাদ । নাক বন্ধ থাকার জন্যে norsol nasal drop ১ - ২ ফোটা করে প্রয়োজন মত ব্যবহার করুন । একজন শিশু বিশেষজ্ঞ চিকিৎসক এর পরামর্শ নিবেন । ,norsol nasal,ডাক্তার ভাইতে প্রশ্ন করার জন্যে আপনাকে ধন্যবাদ । নাক বন্ধ থাকার জন্যে saline nasal drop ১ - ২ ফোটা করে প্রয়োজন মত ব্যবহার করুন । একজন শিশু বিশেষজ্ঞ চিকিৎসক এর পরামর্শ নিবেন ।,1,1
"Thank you for your question . Tab . Napa 500 1 + 1 + 1 , tab . Alatrol 0 + 0 + 1 for 3days for mother . Norsol drop for both mother and baby 1 / 2 drop 2 / 3times a day . Thank you",Tab . Napa 500 | tab . Alatrol | Norsol drop,"Thank you for your question . Tab . Napa 500 1 + 1 + 1 , tab . Loratadine 0 + 0 + 1 for 3days for mother . Norsol drop for both mother and baby 1 / 2 drop 2 / 3times a day . Thank you",1,0
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি ওরস্যালাইন খান । কাচ কলা , জাউ ভাত খান । ভাল না হলে আবার যোগাযোগ করুন । ধন্যবাদ । ",ওরস্যালাইন,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি রিহাইড্রাল খান । কাচ কলা , জাউ ভাত খান । ভাল না হলে আবার যোগাযোগ করুন । ধন্যবাদ ।",1,0
"আমার ছেলের বয়স ৬ বছর । তার বয়স ১বছর হওয়ার পর থেকে Allergic conjunctivitis ( Both Eyes ) দেখা দেয় । ৩ / ৪ বার ডাক্তার দেখালে একই সমস্যার কথা বলেন । সর্বশেষ ডাঃ ১ . Evo eye Drops ( ১ফোটা করে ৩ বার ১৫ দিন ) ২ . Sonexa eye Drops ( ১ফোটা করে ৩ বার ১৫দিন ) ৩ . AFM Plus Eye Oint ( চোখের পাতায় রাতে ১ বার ১৫ দিন ) ৪ . Syp . Oradin ( 0 + 0 + 1 চামচ ০৭ দিন ) ব্যবহার করার পর ১ মাস ভাল থাকে । আবারও চোখ দিয়ে পানি পড়া , চোখ লাল হয়ে যাওয়া , তাকাতে না পারা এবং চোখ ফুলে যায় । এই অবস্থায় আমি কি করতে পারি ? ? ",. Evo eye Drops | . Sonexa eye Drops | AFM Plus Eye Oint | Syp . Oradin,"আমার ছেলের বয়স ৬ বছর । তার বয়স ১বছর হওয়ার পর থেকে Allergic conjunctivitis ( Both Eyes ) দেখা দেয় । ৩ / ৪ বার ডাক্তার দেখালে একই সমস্যার কথা বলেন । সর্বশেষ ডাঃ ১ . Evo eye Drops ( ১ফোটা করে ৩ বার ১৫ দিন ) ২ . Sonexa eye Drops ( ১ফোটা করে ৩ বার ১৫দিন ) ৩ . AFM Plus Eye Oint ( চোখের পাতায় রাতে ১ বার ১৫ দিন ) ৪ . Syp . Cetirizine ( 0 + 0 + 1 চামচ ০৭ দিন ) ব্যবহার করার পর ১ মাস ভাল থাকে । আবারও চোখ দিয়ে পানি পড়া , চোখ লাল হয়ে যাওয়া , তাকাতে না পারা এবং চোখ ফুলে যায় । এই অবস্থায় আমি কি করতে পারি ? ?",1,0
I m an advocate . Two years back . ENT specialist advised me I have suffering from Long Evula then prescribed some medicine then i cured . Three months ago I further attacked Khush kushi disease . Tele doctor advised Fimoxeclav - 625 + Tel fast + Sargel . I take this medicine but no cure and I am suffering Kush Kushi disease seriously . What can I do now ? ,Fimoxeclav - 625 + Tel fast + Sargel,I m an advocate . Two years back . ENT specialist advised me I have suffering from Long Evula then prescribed some medicine then i cured . Three months ago I further attacked Khush kushi disease . Tele doctor advised Amoxiclav - 625 + Tel fast + Sargel . I take this medicine but no cure and I am suffering Kush Kushi disease seriously . What can I do now ?,1,0
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি ট্যাবলেট ওমেপ্রাজল ২০ মিলিগ্রাম সকালে ও রাতে একটা করে খাবার আধা ঘন্টা আগে এবং ট্যাবলেট এলজিন ৫০ মিলিগ্রাম একটা খাবার আগে খান । ধন্যবাদ । ,ট্যাবলেট ওমেপ্রাজল ২০ মিলিগ্রাম | ট্যাবলেট এলজিন ৫০ মিলিগ্রাম,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি ট্যাবলেট প্যান্টোপ্রাজল ২০ মিলিগ্রাম সকালে ও রাতে একটা করে খাবার আধা ঘন্টা আগে এবং ট্যাবলেট এলজিন ৫০ মিলিগ্রাম একটা খাবার আগে খান । ধন্যবাদ ।,1,1
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি পুড়া জায়গায় প্রথমে ভালকরে আধা ঘন্টা টেপের পানিতে ভিজিয়ে রাখুন । silcream দিনে দুইবার ব্যবহার করুন । বেশি পড়ে গেলে এন্টিবায়োটিক লাগতে পারে । সিভিট খেতে পারেন । ড্রেসিং করতে হবে । একজন অভিজ্ঞ চিকিৎসক কে দেখিয়ে নিতে পারেন । ধন্যবাদ,silcream | সিভিট,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি পুড়া জায়গায় প্রথমে ভালকরে আধা ঘন্টা টেপের পানিতে ভিজিয়ে রাখুন । মুপিরোসিন মলম দিনে দুইবার ব্যবহার করুন । বেশি পড়ে গেলে এন্টিবায়োটিক লাগতে পারে । সিভিট খেতে পারেন । ড্রেসিং করতে হবে । একজন অভিজ্ঞ চিকিৎসক কে দেখিয়ে নিতে পারেন । ধন্যবাদ,1,1
"আমার ৩ দিন জ্বর , রোদ থে‌কে এ‌সে বিকা‌লে ঠান্ডা পা‌নি দি‌য়ে গোসল করার পর থে‌কে জ্বর বা‌ড়ে , জ্বর বন্ধ হ‌য়ে আবার আ‌সে , প্যারা‌সিটামল ৫০০ এম‌জি ২টা ক‌রে ৩ বার গতকাল থে‌কে খা‌চ্ছি , কাজ হ‌চ্ছেনা , করনীয় কি ? ",প্যারা‌সিটামল ৫০০ এম‌জি,"আমার ৩ দিন জ্বর , রোদ থে‌কে এ‌সে বিকা‌লে ঠান্ডা পা‌নি দি‌য়ে গোসল করার পর থে‌কে জ্বর বা‌ড়ে , জ্বর বন্ধ হ‌য়ে আবার আ‌সে , আইবুপ্রোফেন ৪০০ এম‌জি ২টা ক‌রে ৩ বার গতকাল থে‌কে খা‌চ্ছি , কাজ হ‌চ্ছেনা , করনীয় কি ?",0,0
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । ওনার কি হার্ট , লাংস , কিডনি , লিভারের কোন সমস্যা আছে ? এ ব্যাপারে সতর্ক থাকুন । জ্বরের জন্য Tab . Napa 500mg দিন । Syp . Tuscof ২চামচ করে ৩ বেলা দিন । ধন্যবাদ । ",Tab . Napa 500mg | Syp . Tuscof,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । ওনার কি হার্ট , লাংস , কিডনি , লিভারের কোন সমস্যা আছে ? এ ব্যাপারে সতর্ক থাকুন । জ্বরের জন্য Tab . Ibuprofen 500mg দিন । Syp . Tuscof ২চামচ করে ৩ বেলা দিন । ধন্যবাদ ।",1,0
"গতকাল থেকে আমার শরীর ব্যাথা , কাশি আর জ্বর ১০১ । রাতে ২ টা নাপা খাবার পর এখন জ্বর ১০০ তে এসেছে । কাশির সময় মাথার তালুতে অনেক ব্যাথা হয় । এই অবস্থায় কী করা উচিৎ ? ",নাপা,"গতকাল থেকে আমার শরীর ব্যাথা , কাশি আর জ্বর ১০১ । রাতে ২ টা আইবুপ্রোফেন খাবার পর এখন জ্বর ১০০ তে এসেছে । কাশির সময় মাথার তালুতে অনেক ব্যাথা হয় । এই অবস্থায় কী করা উচিৎ ?",1,1
Thank you for your question You can take tab . Calbo D 0 + 1 + 0 for 1month . This might be due nerve compression also . Tests and examination are required for diagnosis . Please consult with a medicine specialist and act accordingly . Thank you,Calbo D,Thank you for your question You can take tab . Shelcal 0 + 1 + 0 for 1month . This might be due nerve compression also . Tests and examination are required for diagnosis . Please consult with a medicine specialist and act accordingly . Thank you,1,0
"clonazepam 2mg . . ata Karo poramosso Sara ki ki hote pare . . sodho gum ei hote pare naki , onno kuno problem hote pare Ami jante chai . . please Judi kuno problem Hoi to bolen . . ",clonazepam 2mg,"diazepam 2mg . . ata Karo poramosso Sara ki ki hote pare . . sodho gum ei hote pare naki , onno kuno problem hote pare Ami jante chai . . please Judi kuno problem Hoi to bolen . .",1,1
