serial_no,question,answer
278,নিচের কোন স্তন্যপায়ী প্রাণির (Mammals) দুগ্ধে ল্যাকটোজ সবচেয়ে বেশি থাকে?,মানুষ
279,নিচের কোনটি বহিঃক্ষরা (Exocrine) গ্রন্থি নয়?,থাইরয়েড গ্রন্থি
280,নিচের কোনটি টক্সোয়েড ভ্যাকসিন?,ডিপথেরিয়া
281,কী ধরনের এপিথেলিয়াম বোম্যান'স ক্যাপসুল গঠন করে?,Squamous
282,নিচের কোন কোষটি হাইড্রার এপিডার্মিস (Epidermis) এর অংশ নয়?,ক্ষণপদীয় কোষ
283,কোনটি খাদ্যমণ্ড (Food bolus) কে মানবদেহের নাসাছিদ্রের (Nasal aperture) পথে প্রবেশে বাধা দেয়?,কোমল তালু
284,নিচের কোনটি ঘাসফড়িং এর পশ্চাৎ-পোষ্টিকনালির অংশ?,ইলিয়াম
285,নিচের কোনটি অ্যান্টিজেন নয়?,লিপিড
286,কোন প্রযুক্তি ইনসুলিন তৈরিতে ব্যবহার করা হয়?,ডিএনএ রিকম্বিনেন্ট
287,নিচের কোন হরমোনটি থাইরয়েড গ্রন্থি থেকে নিঃসৃত হয় না?,অক্সিটোসিন
288,বৃক্কের গাঠনিক ও কার্ষিক একক কোনটি?,নেফ্রন
289,নিচের কোনটি মারসুপিয়াল স্তন্যপায়ী প্রাণী?,ক্যাঙ্গারু
290,নিচের কোনটি ভাইরাসকে নিষ্ক্রিয় করতে পারে?,ইন্টারফেরন
291,নিচের কোন গ্রন্থিটি ক্যালসিয়াম বিপাকে সহায়তা করে?,প্যারাথাইরয়েড
292,মাতৃদুগ্ধে কোন অ্যান্টিবডি (Antibody) পাওয়া যায়?,IgA
293,নিচের কোন এনজাইমটি অগ্ন্যাশয় রসে বিদ্যমান?,ট্রিপসিন
294,নিচের কোনটি রক্ত জমাট বাঁধার মূল উপাদান নয়?,অ্যালবুমিন
295,অন্ত্রের কোন স্তরে গবলেট কোষ (Goblet cell) থাকে?,মিউকোসা
296,কোনটি সিক্রেটিন ক্ষরণ করে?,ডিওডেনাম
297,Arthropoda এর বর্গ নয় কোনটি?,Gastropoda
298,কোথায় এনজাইম নেই?,পিত্তরসে
299,ক্ষুদ্র লসিক নালিকে কি বলে?,ল্যাক্টিয়াল
300,হার্ডেরিয়ান গ্রন্থির অবস্থান কোথায়?,চোখ
301,পিটুইটারি গ্রন্থি থেকে কোন হরমোন নিঃসৃত হয়?,TSH
302,শুক্রাণুর অ্যাক্রোসোম তৈরি করে কোনটি?,গলগি বডি
303,কোনটি অতি বিপন্ন প্রাণী?,সাইবেরিয়ান বাঘ
304,ট্রফোব্লাস্ট থেকে ভিলাই বের হতে থাকে—,২য় সপ্তাহের শেষে
305,অ্যানিমাল পোলের ক্ষেত্রে কোনটি সঠিক?,কোষগুলো অনেক দ্রুত বিভাজিত হয়
307,কোনটি বর্ণ সংবেদী?,রডকোষ
308,থিবেসিয়ান কপাটিকা কোথায় অবস্থিত?,
309,জীব-বৈচিত্র্য অঞ্চলকে কী বলা হয়?,হটস্পট
310,শীতকালে কোন প্রাণীটি ঘুমিয়ে কাটায়?,
311,সিফিলিস রোগের জন্য দায়ী নিচের কোনটি?,Treponema pallidum
312,জিহ্বা থেকে স্বাদের অনুভূতি গ্রহণ করে কোন স্নায়ু?,গ্লসোফ্যারিঞ্জিয়াল স্নায়ু
313,নিচের কোনটি ক্যান্সার রোগের চিকিৎসায় ব্যবহৃত হয়?,Interferone
314,নিচের কোন বৈশিষ্ট্য পলিজিন দ্বারা নিয়ন্ত্রিত হয় না?,আকৃতি
315,নিচের কোনটি মিশ্র গ্রন্থির উদাহরণ নয়?,এড্রেনাল গ্রন্থি
316,নিচের কোনটি সমগোত্রীয় পাখির উদাহরণ নয়?,চড়ুই
317,কোনটি সেরেব্রামের কাজ নয়?,শ্বাসপ্রশ্বাসের হার
318,চোখের লেন্স ও রেটিনার মধ্যে অবস্থান করে নিচের কোনটি?,ভিট্রিয়াস হিউমার
319,মধ্যচ্ছদার উপস্থিতি বা Presence of diaphragm কোন পর্বের প্রাণির বৈশিষ্ট্য?,Mammalia
320,হাইড্রার এন্ডোডার্মিসের যেকোনো কোষ তৈরি করতে পারে কোনটি?,ইন্টারস্টিশিয়াল কোষ
321,বাংলাদেশে সন্ধানপ্রাপ্ত ঘাসফড়িংয়ের প্রজাতির সংখ্যা কত?,বিশটি
322,রুই মাছের হৃৎপিণ্ডকে কী নামে অভিহিত করা হয়?,শিরা হৃৎপিণ্ড
323,একজন পূর্ণ বয়স্ক মানুষের নিচের চোয়ালে মোলার দাঁতের সংখ্যা কত?,৬টি
324,মানুষের যকৃতের বাহিরের দিকে আবৃতকারী পর্দার নাম কী?,গ্লিসনস ক্যাপসুল
325,স্থুলতার সাথে নিচের কোন রোগটি সম্পর্ক যুক্ত নয়?,টাইপ-১ ডায়াবেটিস মেলাইটাস
326,মানবদেহে শ্বেত রক্ত কণিকার পরিমাণ 4000/dL এর চেয়ে কমে গেলে সেই অবস্থাকে কী বলে?,Lukopenia
327,সাইনুসাইটিস রোগের প্রধান উপসর্গ কোনটি?,কাশি
328,নিচের কোনটি মানুষের অক্ষীয় কঙ্কালতন্ত্রের অংশ?,করোটি
329,নিচের কোন অঙ্গে স্থিতিস্থাপক তরুণাস্থি পাওয়া যায়?,বহিঃকর্ণ
330,মানুষের জিহ্বার সঞ্চালন নিয়ন্ত্রণ করে কোন করোটিক স্নায়ু?,হাইপোগ্লোসাল স্নায়ু
331,নিচের কোনটি মেনিনজেসের অংশ নয়?,হোয়াইট ম্যাটার
332,চোখের রেটিনার যে অংশ আলোকসংবেদী নয় তাকে বলে-,অন্ধবিন্দু
333,নিচের কোন জোড়াটি লোকাল হরমোনের উদাহরণ?,ইস্ট্রোজেন ও প্রজেস্টেরন
334,মানুষের যকৃতে অবস্থানকারী ম্যাক্রোফেজের নাম কী?,কাফফার কোষ
335,ভাইরাসের আক্রমণে শরীরের ভিতরে স্বতঃস্ফূর্তভাবে নিচের কোনটি তৈরি হয়?,ইন্টারফেরন
336,মানুষের সংখ্যা কোন রক্তগ্রুপে সবচেয়ে বেশি?,O
337,হাইড্রার দেহের ক্ষুদ্রতম নেমাটোসিস্ট কোনটি?,স্টেরিওলিন গ্লুটিন্যান্ট
338,প্রাপ্তবয়স্ক মানুষের নিচের চোয়ালে দন্তকুঠুরীর সংখ্যা কত?,16টি
339,মোলার দাঁতের কাজ কোনটি?,খাবার টুকরা করা ও পেষণ করা
340,আমিষ পরিপাককারী এনজাইম কোনটি?,ট্রিপসিন
341,মানুষের যকৃতে অবস্থানকারী ম্যাক্রোফেজের নাম কী?,কুপফার কোষ
342,নিচের কোন জোড়াটি লোকাল হরমোনের উদাহরণ?,সিক্রেটিন ও এন্টারোগ্যাস্ট্রিন
343,মানব পিত্তরস সম্বন্ধে নিচের কোন তথ্যটি সঠিক?,যকৃতে তৈরি হয়
344,নিচের কোন জোড়াটি লোকাল হরমোনের উদাহরণ?,সিক্রেটিন ও এন্টারোগ্যাস্ট্রিন
345,"মানব পিত্তরস সম্বন্ধে নিচের কোন তথ্যটি সঠিক, ইহা-",যকৃতে তৈরি হয়
346,স্বাভাবিক ওজনের মানুষের বডি মাস ইনডেক্স (BMI) কত?,18.5 - 24.9 kg/m²
347,অদানাদার বা অ্যাগ্রানুলোসাইট কোনটি?,মনোসাইট
348,মানুষের রক্ত জমাট বাঁধার মূল উপাদান নয় কোনটি?,লসিকা রস
349,পেসমেকারের অবস্থান হৃৎপিণ্ডের কোথায়?,ডান অলিন্দ
350,একজন সুস্থ পূর্ণবয়স্ক মানুষ বিশ্রামরত অবস্থায় মিনিটে কতবার শ্বসনক্রিয়া সম্পাদন করে?,14-18 বার
351,মানব রেচনতন্ত্রের অংশ নয় কোনটি?,অ্যাড্রেনাল গ্রন্থি
352,ইন্টারক্যালেটেড ডিস্ক কোন ধরনের পেশির বৈশিষ্ট্য?,হৃদপেশি
353,পাকস্থলিতে কোন করোটিক স্নায়ুর কার্যক্রম বিদ্যমান?,ভেগাস
354,সেরেব্রামের দুটি খণ্ডকে সংযোগকারী স্নায়ু গুচ্ছের নাম-,কর্পাস ক্যালোসাম
355,রক্তে Na⁺ ও K⁺ এর সমতা রক্ষা করে কোন হরমোন?,অ্যালডোস্টেরন
356,মানবদেহে সর্ববৃহৎ অঙ্গ কোনটি?,ত্বক
357,নিষ্ক্রিয় ভ্যাক্সিন কোনটি?,পোলিও ভ্যাক্সিন
358,AB ব্লাড গ্রুপের দাতা কোন গ্রুপকে রক্ত দিতে পারবে?,AB গ্রুপ
359,কত সেলসিয়াস তাপমাত্রার নিচে রুই মাছ বাঁচতে পারে না?,14°C
360,প্রোটিন পরিপাককারী এনজাইম নয় কোনটি?,অ্যামাইলেজ
361,Kupffer's Cell থাকে কোথায়?,যকৃত
362,একটি হৃৎপিণ্ডে প্রতি মিনিটে ৮০ বার হৃদকম্পন হলে হৃদচক্রের স্থায়িত্ব কত?,0.75 সেকেন্ড
363,কোনটি হৃদপিণ্ডকে বিভিন্ন প্রকোষ্ঠে বিভক্ত করে?,এন্ডোকার্ডিয়াম
364,করোনারি ধমনি সরু হয়ে যাওয়া নির্ণয়ে ব্যবহৃত হয় কোন পরীক্ষা?,এনজিওগ্রাম
365,বিশ্বব্যাপী রক্তশূন্যতার প্রধানতম কারণ কী?,লৌহ ঘাটতি জনিত
366,Adam's Apple কোথায় থাকে?,স্বরযন্ত্র
367,বৃক্কের কাজ নয় কোনটি?,তাপ নিয়ন্ত্রণ করা
368,স্বাভাবিক মূত্রের রং খড়ের রং হওয়ার কারণ কী?,ইউরোক্রোম
369,মানুষের কপাল কোন অস্থি দিয়ে তৈরি হয়?,ফ্রন্টাল
370,সিসাময়েড অস্থি কোনটি?,প্যাটেলা
371,সাদা লেগহর্ণ ও সাদা ওয়াইনডট এর মধ্যে ক্রস ঘটিয়ে ফলাফল পান-,"Bateson & Punnet, 1908"
372,কোনটি মানুষের পশ্চাৎ মস্তিষ্কের অংশ নয়?,থ্যালামাস
373,চোখের রেটিনার ভিতর সবচেয়ে আলোক সংবেদী অংশের নাম কী?,পীত বিন্দু
374,মানবদেহের সবচেয়ে ছোট অনাল গ্রন্থি কোনটি?,পিটুইটারি
375,নিচের কোন হরমোন রক্তে সোডিয়ামের মাত্রা নিয়ন্ত্রণ করে?,অ্যালডোস্টেরন
376,নিচের কোনটি সহজাত প্রতিরক্ষার উদাহরণ নয়?,সক্রিয় প্রতিরক্ষা
377,ব্যাঙের শীতনিদ্রা' কোন ধরনের ট্যাক্সিসের উদাহরণ?,ধনাত্মক থার্মোট্যাক্সিস
378,মুখবিবরে 'র ্যাডুলা' নামক অংশ থাকে কোন পর্বের প্রাণীতে?,Mollusca
379,হাইড্রার বহিঃত্বকে সমগ্র স্থান জুড়ে অবস্থান করে কোনটি?,পেশি আবরণী কোষ
380,ঘাসফড়িংয়ের পুঞ্জাক্ষির কোন অংশটি আলো গ্রহণ করে?,র ্যাবডোম
381,রুই মাছের আঁইশ কোন ধরনের?,সাইক্লয়েড
382,হেপারিন তৈরি ও নিঃসরণ করা কোন কোষের কাজ?,basophil
383,হৃৎপিণ্ডের কোন কপাটিকায় তিনটি কাম্প থাকে না?,বাম অ্যাট্রিওভেন্ট্রিকুলার কপাটিকা
384,কোন জাতীয় ব্যারোরিসেপ্টর রক্তের আয়তন নিয়ন্ত্রণে ভূমিকা রাখে?,নিম্নচাপ ব্যারোরিসেপ্টর
385,নিচের কোনটি মানবদেহের শ্বসনতন্ত্রের বায়ু পরিবহন অঞ্চল নয়?,অ্যালভিওলার নালি
386,সারফেকট্যান্ট কোথায় পাওয়া যায়?,অ্যালভিওলাসে
387,রক্তে CO₂ পরিবহনের মাধ্যম নয় কোনটি?,কার্বন মনো অক্সাইড
388,কোনটি মানুষের মুখমণ্ডলীয় অস্থি নয়?,এথময়েড অস্থি
389,করোটিক স্নায়ুর কাজ সম্পর্কিত নিচের কোন তথ্যটি সঠিক নয়?,হাইপোগ্লোসাল - স্বাদ গ্রহণ
390,চোখের স্কেরার রঙ কী?,সাদা
391,মানবদেহের ভারসাম্য নিচের কোনটি রক্ষা করে?,অন্তঃকর্ণ
392,মানবদেহে ক্যালসিয়াম ও ফসফরাসের বিপাক নিয়ন্ত্রণ করে কোন গ্রন্থি?,প্যারাথাইরয়েড
393,মানব দেহে নিষেক প্রক্রিয়া কোথায় সংঘটিত হয়?,ডিম্বনালি
394,প্রথম টেস্টটিউব বেবির নাম কী?,লুইস ব্রাউন
395,নিচের কোনটি মানুষের প্রাথমিক প্রতিরোধ ব্যবস্থা নয়?,ইন্টারফেরন
396,নিচের কোনটি সেক্স-লিংকড ডিসঅর্ডার নয়?,থ্যালাসেমিয়া
397,মারসুপিয়াল স্তন্যপায়ী প্রাণী কোন মহাদেশে পাওয়া যায়?,অস্ট্রেলিয়া
398,নিচের কোনটি দ্বিঅরীয় প্রতিসাম্য প্রাণীর উদাহরণ?,টিনোফোরা
399,হাইড্রার খাদ্য নয় কোনটি?,ছোট ঘাস
400,ঘাসফড়িংয়ের রক্ত সংবহনতন্ত্রের অংশ নয় কোনটি?,সম্মুখ বাহিকা
401,স্ত্রী রুইমাছ ডিম পাড়ে কখন?,জুন-আগস্ট মাস
402,নিচের কোন হরমোনটি পাকস্থলীর হাইড্রোক্লোরিক অ্যাসিড নিঃসরণ নিয়ন্ত্রণ করে?,গ্যাস্ট্রিন
403,নিচের কোনটি তৈরির প্রক্রিয়াকে এরিথ্রোপোয়েসিস বলে?,লোহিত রক্তকণিকা
404,হৃদ-ফুসফুস যন্ত্র (Heart-Lung Machine) কোন কাজে ব্যবহৃত হয়?,হৃৎপিণ্ডের বাইপাস সার্জারিতে
405,হেনলির লুপের অবস্থান বৃক্কের কোথায়?,বৃক্কীয় নালিকায়
406,মানবদেহের করোটিকাতে কতগুলো অস্থি আছে?,12টি
407,পূর্ণ সংবেদী স্নায়ু নয় কোনটি?,ফেসিয়াল স্নায়ু
408,প্রাপ্তবয়স্ক মানুষের মস্তিষ্কে নিউরনের সংখ্যা কত?,১০ বিলিয়ন
409,নিচের কোনটি মিশ্র গ্রন্থি নয়?,এড্রেনাল গ্রন্থি
410,বুকের দুধে কোন ধরনের ইমিউনোগ্লোবিন (Ig) থাকে?,IgE
411,"কনে হিমোফিলিয়া বাহক, বর সুস্থ, এদের সন্তানদের ক্ষেত্রে কোনটি মিথ্যা?",পুত্রদের সবাই সুস্থ হবে
412,ফিলোসফিকা জুওলজিক' গ্রন্থের রচয়িতা কে?,ল্যামার্ক
413,জুরাসিক সময়কাল বলা হয় কত আগের সময়কে?,সাড়ে ১৬ কোটি বছর
414,দ্রুত চলাচলের জন্য Hydra কোন চলন পদ্ধতি ব্যবহার করে?,Somersaulting
415,কোনটি ঘাসফড়িং এর মস্তকের বহিঃকঙ্কালের অংশ নয়?,ওসেলি
416,রুই মাছের আঁইশের বৃদ্ধি কোন সময়ে বেশি হয়?,বসন্তকালে
417,মানুষের যকৃতের সবচেয়ে বড় খণ্ডাংশটি হলো-,ডানখণ্ড
418,কোনটি ক্ষুদ্রান্ত্রের অংশ নয়?,এপেনডিক্স
419,নিচের কোন BMI (Body Mass Index) অতিরিক্ত ওজন নির্দেশ করে?,25.0-29.9 Kg/m²
420,একজন ৬ বছরের বালিকার দাঁতের সংকেত (ICPM) কোনটি?,উত্তর: D I2C0P1M2 (D or B?)
421,কোনটি ক্ষুদ্রান্ত্রের অংশ নয়?,এপেনডিক্স
422,নিচের কোন BMI (Body Mass Index) অতিরিক্ত ওজন নির্দেশ করে?,25.0 – 29.9 Kg/m²
423,নিউক্লিয়াসবিহীন কোষ হলো-,লোহিত রক্তকণিকা
424,মানুষের স্বাভাবিক রক্ত ক্ষরণকাল-,১-৪ মিনিট
425,একই সাথে শরীরে রক্তে অক্সিজেনের ঘনত্ব ও হৃৎস্পন্দনের পরিমাপক যন্ত্রের নাম কি?,পাল্সঅক্সিমিটার
426,হৃদযন্ত্রের রোগ নির্ণয়ে প্রাথমিক পরীক্ষা কোনটি?,ইসিজি
427,কৃত্রিম পেসমেকার যন্ত্রে কোন ব্যাটারি ব্যবহার করা হয়?,Li ব্যাটারি
428,শ্বসন কেন্দ্র অবস্থিত কোথায়?,পনস
429,কোনটি প্যারানাসাল সাইনাস নয়?,অক্সিপিটাল সাইনাস
430,মানুষের কব্জিতে হাড়ের সংখ্যা কত?,৮টি
431,নিচের কোনটি মিনারেলোকোর্টিকয়েড হরমোনের কাজ নয়?,হৃৎক্রিয়া বৃদ্ধি করা
432,কোনটি মিশ্র গ্রন্থি?,অগ্ন্যাশয়
433,সিমেন তৈরির জন্য পিচ্ছিল পদার্থ ক্ষরণ করে কোন অঙ্গ?,সেমিনাল ভেসিকল
434,ব্যাকটেরিয়া ধ্বংসে অ্যান্টিবডিকে সহায়তা করে কোনটি?,কমপ্লিমেন্ট সিস্টেম
435,হোমোলোগাস ক্রোমোজোমের একটি লোকাসে দুটি জিন একত্রে থাকাকে কী বলে?,অ্যালিলোমর্ফ
436,জেলিফিশ কোন পর্বের প্রাণী?,নিডারিয়া
437,কোন প্রাণী অযৌন ও যৌন দুভাবেই প্রজনন সম্পন্ন করে?,হাইড্রা
438,ঘাসফড়িং এর অগ্রভাগের সরু ও শক্ত ডানাদ্বয়কে কী বলে?,টেগমিনা
439,কোন ভিটামিন পানিতে দ্রবণীয়?,ভিটামিন B কমপ্লেক্স
440,পেপসিনের ক্ষেত্রে কোনটি সত্য নয়?,ইহা অগ্ন্যাশয় থেকে নিঃসৃত হয়
441,কোনটি অদানাদার শ্বেত কণিকা?,মনোসাইট
442,স্বাভাবিক অবস্থায় মানবদেহের রক্তের pH এর মান-,7.40
443,নিচের কোনটি পালমোনারি সংবহনের অংশ নয়?,মহাধমনি
444,কোন চক্রের মাধ্যমে যকৃতে ইউরিয়া তৈরি হয়?,অরনিথিন চক্র
445,নিচের কোনটি বক্ষ অস্থিচক্রের হাড়?,ক্ল্যাভিকল
446,মানুষের নবম জোড়া করোটিক স্নায়ুর নাম কী?,গ্লাসোফ্যারিঞ্জিয়াল
447,মস্তিষ্কের কোন অংশে ক্ষুধা নিয়ন্ত্রণ কেন্দ্র অবস্থিত?,হাইপোথ্যালামাস
448,ডায়েনসেফালনের মধ্যস্থ গহবরটিকে কী বলে?,তৃতীয় ভেন্ট্রিকল
449,পিউপিলের অবস্থান কোথায়?,আইরিসের মধ্যবর্তী স্থানে
450,মেলানিন রঞ্জকে রঞ্জিত স্তর কোনটি?,কোরয়েড
451,অগ্ন্যাশয়ের আলফা কোষ থেকে নিঃসৃত হয়—,গ্লুকাগন
452,কোন গ্রন্থির ক্ষরণকাল আজীবন নয়?,থাইমাস
453,নিচের কোনটি ভ্রূণীয় এক্টোডার্ম স্তর থেকে তৈরি হয়?,কেন্দ্রীয় স্নায়ুতন্ত্র
454,মানুষের দেহকোষে কতটি অটোজোম থাকে?,৪৪টি
455,নিচের কোনটির দ্বারা গনোরিয়া রোগ হয়?,ব্যাকটেরিয়া
456,ভ্রান্ত সিলোমযুক্ত প্রাণীর পর্ব কোনটি?,Nematoda
457,হাইড্রার মুকুল কী কাজে ব্যবহৃত হয়?,অযৌন প্রজনন
458,রক্তস্রোতে থাকা অতিরিক্ত গ্লুকোজ থেকে যকৃতে সঞ্চিত পলিস্যাকারাইড হলো-,গ্লাইকোজেন
459,মাইক্রোভিলাইগুলো একত্রিতভাবে ক্ষুদ্রান্ত্রের উপরিভাগে কী সৃষ্টি করে?,ব্রাশ বর্ডার
460,স্থূলতার সহিত সম্পর্কযুক্ত রোগ কোনটি?,করোনারি হার্ট ডিজিজ
461,ফুসফুসের গঠন ও কার্যগত একক-,অ্যালভিওলাস
462,স্বাভাবিক মূত্রের বর্ণ হালকা হলুদ হয় কিসের উপস্থিতিতে?,ইউরোক্রোম
463,নিচের কোনটি ক্লাভিকলের বৈশিষ্ট্য?,এটি একটি বাঁকানো অস্থি
464,চলনের সময় হাঁটুকে ভাঁজ করে কোন মাংসপেশী?,বাইসেপস ফিমোরিস
465,মেরুদন্ডের এটলাস ও এক্সিসের মধ্যবর্তী অস্থিসন্ধি কোনটি?,কীলক
466,মোটর প্রকৃতির স্নায়ু কোনটি?,হাইপোগ্লোসাল
467,সন্তান প্রসবে কোন হরমোন সাহায্য করে?,অক্সিটোসিন
468,মায়ের দুধে কি ধরনের প্রতিরক্ষা থাকে?,প্রাকৃতিক অক্রিয়
469,অ্যান্টিবডি ক্ষরণ করে কোন কোষ?,প্লাজমা কোষ
470,সর্বপ্রথম ভ্যাক্সিন কত সালে আবিষ্কৃত হয়?,1796
471,কোনটি সেক্স লিংকড ডিসঅর্ডার নয়?,ডায়াবেটিক ম্যালিটাস
472,কোয়াগুলেশন ফ্যাক্টর কোনটির অভাবে হিমোফিলিয়া হয়?,VIII ফ্যাক্টর
473,সপ্তম করোটিক স্নায়ু কোনটি?,ফেসিয়াল
474,মানুষের রেসপিরেটরি সেন্টার কোনটিতে থাকে?,মেডুলা অবলাংগাটা
475,গলগন্ড রোগ হয় কোনটির অভাবে?,Iodin
476,ট্রপিক হরমোন কোনটি?,TSH
477,এপিডিডাইমিস এর দৈর্ঘ্য কত?,20ft
478,জাতীয় পাখির বৈজ্ঞানিক নাম কী?,Copsychus saularis
479,হাইড্রা কোন পর্বের প্রাণী?,নিডারিয়া
480,ঘাসফড়িং এর পুঞ্জাক্ষিতে কতটি ওমাটিডিয়াম রয়েছে?,1200-1800
481,নিষ্ক্রিয় ট্রিপসিনোজেন কে সক্রিয় ট্রিপসিনে পরিণত করে কে?,HCl
482,"চিকিৎসাবিদ্যার কোন শাখায় স্থূলতার কারণ, প্রতিরোধ ও চিকিৎসা সম্বন্ধে আলোচনা করা হয়?",Bariatrics
483,কোন প্রাণীর লোহিত কণিকায় নিউক্লিয়াস থাকে?,উট
484,বাম অলিন্দ ও বাম নিলয়ের ছিদ্রপথে কোন কপাটিকা থাকে?,বাইকাসপিড কপাটিকা
485,মানবদেহের স্বাভাবিক ডায়াস্টলিক চাপ কত?,60-90
486,শ্বসনতন্ত্রের উৎপত্তি কোথা থেকে হয়?,Endoderm
487,কোনটি Larynx এর Cartilage নয়?,Cocloyed
488,কোষের অন্তঃশ্বসন কোথায় হয়?,কোষের মধ্যে
489,করোটিকার অস্থি কয়টি?,8
490,শোষিত খাদ্যবস্তুর প্রোটোপ্লাজমে রূপান্তরকে বলে-,আত্তীকরণ
491,স্নেহজাতীয় পদার্থকে ফ্যাটি অ্যাসিড ও গ্লিসারলে পরিণত করে কোন এনজাইম?,লাইপেজ
492,রক্তের pH নির্ভর করে যার উপর-,বাফার
493,নিম্নের কোন অঙ্গে লোহিত কণিকা ধ্বংস হয়?,"A,B"
494,নিম্নের কোনটি শরীরের অণুপ্রবেশিত জীবাণু ধ্বংস করার প্রক্রিয়া?,ফ্যাগোসাইটোসিস
495,নিম্নের কোনটি রক্ত জমাট বাঁধার মূল উপাদান নয়?,অ্যালবুমিন
497,নিউক্লিয়াস বিশিষ্ট লোহিত কণিকা কোন প্রাণীতে থাকে?,ব্যাঙে
498,কণিকাবিহীন রক্তের জলীয় অংশকে বলে-,প্লাজমা
499,মানবদেহে রোগ প্রতিরোধক হিসাবে কাজ করে কোনটি?,শ্বেতকণিকা
500,নিম্নের কোন কোষটি হেপারিন নিঃসরণ করে?,বেসোফিল
501,নিম্নের উল্লেখিত কয়টি ফ্যাক্টর রক্ত জমাট বাধার প্রক্রিয়ায় অংশগ্রহণ করে?,13
502,লোহিত রক্তকণিকার উৎপত্তিস্থল নয়-,হৃদপিণ্ড
503,লাল অস্থিমজ্জায় তৈরি হয়-,সবকটি
504,হৃদপিন্ডের ডান অলিন্দ ও ডান নিলয়ের সংযোগ স্থলের কপাটিকার নাম-,ট্রাইকাসপিড কপাটিকা
505,মাইট্রাল কপাটিকা নিম্নে উল্লেখিত কোথায় অবস্থিত?,বাম অলিন্দ-নিলয় ছিদ্রমুখে
506,নিম্নের কোন শ্বেতকণিকার নিউক্লিয়াসটি দুই লোব বিশিষ্ট?,ইউসিনোফিল
507,নিলয়ের ডায়াস্টলের সময় নিম্নের কত সেকেন্ড?,0.5
508,নিম্নের কোনটি সঠিক নয়?,লসিকা দেহের কিছু কিছু স্থানে রক্তের পরিবর্তে হিসাবে কাজ করে
509,নিম্নের কোন তথ্যটি সঠিক নয়?,হৃদপিন্ডের বাম অলিন্দ থেকে পালমোনারী ধমনী উৎপন্ন হয়
510,সিস্টোলিক এবং ডায়াস্টলিক প্রেসারের পার্থক্যকে বলা হয়-,পালস্ প্রেসার
511,নিম্নের কোনটি হৃৎপিন্ডের সংবহন তন্ত্রের অংশ নহে?,মায়োকার্ডিয়াম
512,নিম্ন প্রদত্ত কোন ধমনিটির উৎপত্তি এ্যাওর্টার বাঁক থেকে হয় না?,ডান সাধারণ ক্যারোটিড
513,নিম্নের কোনটি হৃদপিণ্ডকে বিভিন্ন প্রকোষ্ঠে বিভক্ত করে?,পেরিকার্ডিয়াম
514,সিলিয়াক ধমনী নিম্নের কোন অঙ্গে রক্ত সরবরাহ করে না?,বৃক্ক
515,শিরার জন্য কোন তথ্যটি সঠিক নয়?,প্রাচীর স্থিতিস্থাপক
516,মানব শিরাতন্ত্রে নিম্নের কোনটি অনুপস্থিত?,পোর্টাল
517,ধমনীর ক্ষেত্রে নীচের কোনটির প্রযোজ্য?,রক্ত সাধারণত হৃৎপিন্ড থেকে দেহের বিভিন্ন অংশে পরিবাহিত হয়
518,নিম্নের কোন তথ্যটি লসিকাতন্ত্র সম্পর্কে সত্য নয়?,কলা থেকে কলারসের প্রায় ১০ শতাংশ লসিকা দ্বারা অপসৃত হয়
519,লসিকা সম্বন্ধে কোনটি সঠিক নয়?,লসিকাতে অণুচক্রিকা আছে
520,লসিকার আপেক্ষিক গুরুত্ব কত?,১.০১৫
521,শ্বসনতন্ত্র সম্পর্কে নিচের কোন তথ্যটি সঠিক নয়?,ফুসফুসের কৈশিক নালিতে অক্সিজেন রক্তের হিমোগ্লোবিনের সঙ্গে বিক্রিয়া করে স্থায়ী যৌগ অক্সিহিমোগ্লোবিন তৈরি করে।
522,স্বরতন্ত্রীর অবস্থান হচ্ছে-,ল্যারিংক্স
523,ব্রঙ্কিয়াল নালীগুলোর কোনটি সঠিক পর্যায়ক্রম?,মুখ্য ব্রংকাই- ব্রঙ্কিওল- গৌণ ব্রঙ্কাই- শ্বসন ব্রঙ্কিওল- প্রান্তীয় ব্রঙ্কিওল- অ্যালভিওলার নালী- অ্যালভিওলার থলি- অ্যালভিওলি
524,নিচের কোন উক্তিটি সত্য নয়?,মানব দেহের ডান ফুসফুস দুই খন্ডবিশিষ্ট এবং বাম ফুসফুস তিন খন্ডবিশিষ্ট
525,ফুসফুসের ক্ষেত্রে নিম্নের কোনটি সঠিক?,ডান ফুসফুসটি তিন খন্ডে বিভক্ত এবং বাম ফুসফুসটি দুই খন্ডে বিভক্ত
526,সিলিয়াযুক্ত এপিথেলিয়াম কোথায় পাওয়া যায়?,শ্বাসনালীতে
527,নিম্নের কোন তথ্যটি সঠিক নয়?,ফুসফুসের কৈশিক নালীতে অক্সিজেন রক্তের হিমোগ্লোবিনের সঙ্গে বিক্রিয়া করে স্থায়ী যৌগ অক্সিহিমোগ্লোবিন তৈরি করে
528,ব্রঙ্কিওল শেষ হয়-,অ্যালভিওলাইতে
529,কোনটি মানব দেহের শ্বসনের জন্য সঠিক নয়?,ফুসফুসের কৈশিক জালিকায় দেহ থেকে আগত রক্তে অক্সিজেনের চাপ থাকে 107 mm Hg
530,পূর্ণ বয়স্ক সুস্থ মানুষের বিশ্রামকালে প্রতিমিনিটে শ্বসনের হার?,১৬-২০ বার
