text,Specialist,target_specialist,modified_specialist,modified_sentence,eval_target_specialist,correct_prediction,correct_raw_response,hallucinated_prediction,hallucinated_raw_response
ধন্যবাদ আপনার প্রশ্নের জন্য । urinary incontinence বলা হয় এই সমস্যা কে । বিশদ আলোচনার জন্য আপনি একজন গাইনি চিকিৎসকের পরামর্শ নিন । আপনি এই এপের মাধ্যমে ভিডিও কনফারেন্সে চিকিৎসকের পরামর্শ নিতে পারেন । ধন্যবাদ,গাইনি চিকিৎসকের,গাইনি চিকিৎসকের,ইউরোলজি চিকিৎসক,ধন্যবাদ আপনার প্রশ্নের জন্য । urinary incontinence বলা হয় এই সমস্যা কে । বিশদ আলোচনার জন্য আপনি একজন ইউরোলজি চিকিৎসকের পরামর্শ নিন । আপনি এই এপের মাধ্যমে ভিডিও কনফারেন্সে চিকিৎসকের পরামর্শ নিতে পারেন । ধন্যবাদ,গাইনি চিকিৎসকের,0.0,"ANSWER: 0

The extracted entity ""গাইনি চিকিৎসকের"" (gynecologist) is mentioned in the given text. The text advises the reader to consult a gynecologist for",1.0,"ANSWER: 1

The text mentions ""ইউরোলজি চিকিৎসকের"" (urology specialist) but does not mention ""গাইনি চিকিৎ"
ডাক্তার ভাইতে প্রশ্ন করার জন্যে আপনাকে ধন্যবাদ । tab - Fexo 60 mg 0 + 0 + 1 ৭ দিন । iventi eye drop . ১ ফোটা করে দিনে ৪ বার দিবেন ৭ দিন । একজন চক্ষু বিশেষজ্ঞ চিকিৎসক এর পরামর্শ নিবেন । ,চক্ষু বিশেষজ্ঞ,চক্ষু বিশেষজ্ঞ,চক্ষু সার্জন,ডাক্তার ভাইতে প্রশ্ন করার জন্যে আপনাকে ধন্যবাদ । tab - Fexo 60 mg 0 + 0 + 1 ৭ দিন । iventi eye drop . ১ ফোটা করে দিনে ৪ বার দিবেন ৭ দিন । একজন চক্ষু সার্জন চিকিৎসক এর পরামর্শ নিবেন ।,চক্ষু বিশেষজ্ঞ,0.0,"ANSWER: 0

The extracted entity ""চক্ষু বিশেষজ্ঞ"" (ophthalmologist) is mentioned in the given text. The text advises to consult an ophthalmologist, which confirms",,"The extracted entity ""চক্ষু বিশেষজ্ঞ"" (ophthalmologist) is not directly mentioned in the given text. The text mentions ""চক্ষু সার্জ"
Thank you for your question . Do a ultra sonogram of abdomen . consult . with a surgeon . It might be stone . Thank you . ,surgeon,surgeon,urologist,Thank you for your question . Do a ultra sonogram of abdomen . consult . with a urologist . It might be stone . Thank you .,surgeon,0.0,"ANSWER: 0

The extracted entity ""surgeon"" is mentioned in the text: ""consult . with a surgeon ."". Therefore, it is not hallucinated.",1.0,"ANSWER: 1

The text mentions consulting a urologist, not a surgeon. Therefore, the extracted entity ""surgeon"" is hallucinated."
Thanks for your question . Consult a gastro eneterologist . As you have a long term problem . Thanks,gastro eneterologist,gastro eneterologist,hepatologist,Thanks for your question . Consult a hepatologist . As you have a long term problem . Thanks,gastro eneterologist,0.0,"ANSWER: 0

The extracted entity ""gastro eneterologist"" is mentioned in the given text, although it is misspelled. The correct term should be ""gastroenterologist."" However, since the entity is present in the",1.0,"ANSWER: 1

The text specifically mentions consulting a ""hepatologist,"" which is a specialist in liver diseases. The extracted entity ""gastroenterologist"" is a different type of specialist, focusing on the digestive system. Since the text"
"1 . Injury to scotrum 2 . Inflammation to scotrum 3 . Infections Also many other causes are there . You need to consult with surgery specialist , for evaluation and treatment . Thanks . ",surgery specialist,surgery specialist,urology specialist,"1 . Injury to scotrum 2 . Inflammation to scotrum 3 . Infections Also many other causes are there . You need to consult with urology specialist , for evaluation and treatment . Thanks .",surgery specialist,0.0,"ANSWER: 0

The extracted entity ""surgery specialist"" is mentioned in the given text, so it is not hallucinated.",1.0,"ANSWER: 1

The text specifically mentions consulting a ""urology specialist"" for evaluation and treatment, not a ""surgery specialist."" Therefore, the extracted entity ""surgery specialist"" is hallucinated."
"ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । আপনি এই ব্যাপারে সরাসরি মেডিসিন বিশেষজ্ঞ কে দেখিয়ে , কিছু শারীরিক পরীক্ষা করিয়ে , তারপর চিকিৎসা গ্রহণ করুন । ধন্যবাদ",মেডিসিন বিশেষজ্ঞ,মেডিসিন বিশেষজ্ঞ,অভ্যন্তরীণ রোগ বিশেষজ্ঞ,"ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । আপনি এই ব্যাপারে সরাসরি অভ্যন্তরীণ রোগ বিশেষজ্ঞ কে দেখিয়ে , কিছু শারীরিক পরীক্ষা করিয়ে , তারপর চিকিৎসা গ্রহণ করুন । ধন্যবাদ",মেডিসিন বিশেষজ্ঞ,0.0,"ANSWER: 0

The extracted entity ""মেডিসিন বিশেষজ্ঞ"" (medicine specialist) is present in the given text and is not hallucinated. The text advises the reader to consult",,"The text mentions ""অভ্যন্তরীণ রোগ বিশেষজ্ঞ"" which translates to ""internal medicine specialist"" or ""physician specialist."" The extracted entity ""মে"
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । স্তন বড় হওয়ার অনেক কারন থাকে যেমন ওজন বেড়ে যাওয়া , কিছু ঔষধের পার্শ্বপ্রতিক্রিয়া , হরমনের সমস্যা ইত্যাদি । আপনি একজন মেডিসিন এর ডাক্তারের পরামর্শ নিন । ওজন কমান । ধন্যবাদ",মেডিসিন এর ডাক্তারের,মেডিসিন এর ডাক্তারের,হরমোন বিশেষজ্ঞের,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । স্তন বড় হওয়ার অনেক কারন থাকে যেমন ওজন বেড়ে যাওয়া , কিছু ঔষধের পার্শ্বপ্রতিক্রিয়া , হরমনের সমস্যা ইত্যাদি । আপনি একজন হরমোন বিশেষজ্ঞের পরামর্শ নিন । ওজন কমান । ধন্যবাদ",মেডিসিন এর ডাক্তারের,0.0,"ANSWER: 0

The extracted entity ""মেডিসিন এর ডাক্তারের"" (a doctor of medicine) is mentioned in the given text. The text advises the reader to",1.0,"ANSWER: 1

The extracted entity ""মেডিসিন এর ডাক্তারের"" (medicine doctor) is not mentioned in the given text. The text suggests consulting a hormone specialist"
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি ভাত , আলু , রুটি , মিষ্টি , চিনি কম খাবেন । নিয়মিত ব্যায়াম করুন । সঠিক সময়ে ঘুমাবেন । রাত জাগবেন না । দুশ্চিন্তা করবেন না । একজন পুষ্টি বিশেষজ্ঞ কে দেখিয়ে আপনার ওজনের ও উচ্চতার অনুপাতে একটি ডায়েট চার্ট তৈরি করুন । ধন্যবাদ । ",পুষ্টি বিশেষজ্ঞ,পুষ্টি বিশেষজ্ঞ,এন্ডোক্রাইনোলজি বিশেষজ্ঞ,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি ভাত , আলু , রুটি , মিষ্টি , চিনি কম খাবেন । নিয়মিত ব্যায়াম করুন । সঠিক সময়ে ঘুমাবেন । রাত জাগবেন না । দুশ্চিন্তা করবেন না । একজন এন্ডোক্রাইনোলজি বিশেষজ্ঞ কে দেখিয়ে আপনার ওজনের ও উচ্চতার অনুপাতে একটি ডায়েট চার্ট তৈরি করুন । ধন্যবাদ ।",পুষ্টি বিশেষজ্ঞ,0.0,"ANSWER: 0

The extracted entity ""পুষ্টি বিশেষজ্ঞ"" (nutritionist) is mentioned in the given text. The text advises the reader to consult a nutritionist to create",1.0,"ANSWER: 1

The text mentions an ""এন্ডোক্রাইনোলজি বিশেষজ্ঞ"" (endocrinology specialist) and not a ""প"
"ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । বাচ্চাকে দ্রুত দাঁতের ডাক্তারের কাছে নিয়ে যান , দাঁত দেখে পরীক্ষা করে উনি সিদ্ধান্ত নিবেন কি করতে হবে । ধন্যবাদ",দাঁতের ডাক্তারের,দাঁতের ডাক্তারের,অর্থোডন্টিস্টের,"ডাক্তার ভাইকে প্রশ্ন করার জন্য ধন্যবাদ । বাচ্চাকে দ্রুত অর্থোডন্টিস্টের কাছে নিয়ে যান , দাঁত দেখে পরীক্ষা করে উনি সিদ্ধান্ত নিবেন কি করতে হবে । ধন্যবাদ",দাঁতের ডাক্তারের,0.0,"ANSWER: 0

The extracted entity ""দাঁতের ডাক্তারের"" (dentist) is mentioned in the given text. The text advises taking the child to a dentist to have their",,"The extracted entity ""দাঁতের ডাক্তারের"" (which translates to ""dentist's"" in English) is not hallucinated with respect to the given text. The text mentions ""অর"
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । থাইরয়েড সমস্যা থাকলে এমন হতে পারে । কারো ক্ষেত্রে দুশ্চিন্তা থেকে এমন হয় । হার্টের সমস্যা থেকেও হতে পারে । আপনি একজন মেডিসিন ডাক্তার কে দেখান । ধন্যবাদ,মেডিসিন ডাক্তার,মেডিসিন ডাক্তার,এন্ডোক্রাইনোলজিস্ট,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । থাইরয়েড সমস্যা থাকলে এমন হতে পারে । কারো ক্ষেত্রে দুশ্চিন্তা থেকে এমন হয় । হার্টের সমস্যা থেকেও হতে পারে । আপনি একজন এন্ডোক্রাইনোলজিস্ট কে দেখান । ধন্যবাদ,মেডিসিন ডাক্তার,0.0,"ANSWER: 0

The extracted entity ""মেডিসিন ডাক্তার"" (medicine doctor) is mentioned in the given text. The text advises the reader to see a ""মেড",1.0,"ANSWER: 1

The text does not mention ""মেডিসিন ডাক্তার"" (medicine doctor). Instead, it suggests seeing an ""এন্ডোক্রাই"
ধন্যবাদ আপনাকে প্রশ্নের জন্য । ইনফেকশন হয়ে থাকতে পারে । আপনি সরাসরি একজন নাক কান গলা বিশেষজ্ঞ ডাক্তারের পরামর্শ নিন । ধন্যবাদ,নাক কান গলা বিশেষজ্ঞ,নাক কান গলা বিশেষজ্ঞ,সংক্রামক রোগ বিশেষজ্ঞ,ধন্যবাদ আপনাকে প্রশ্নের জন্য । ইনফেকশন হয়ে থাকতে পারে । আপনি সরাসরি একজন সংক্রামক রোগ বিশেষজ্ঞ ডাক্তারের পরামর্শ নিন । ধন্যবাদ,নাক কান গলা বিশেষজ্ঞ,0.0,"ANSWER: 0

The extracted entity ""নাক কান গলা বিশেষজ্ঞ"" (ENT specialist) is present in the given text. Therefore, it is not hallucinated.",1.0,"ANSWER: 1

The extracted entity ""নাক কান গলা বিশেষজ্ঞ"" (ENT specialist) is not mentioned in the given text. The text only mentions ""স"
Thanks for your question to daktar bhai . you can see a child specialist . He will check if she needs any medicine . Thanks,child specialist,child specialist,pediatrician,Thanks for your question to daktar bhai . you can see a pediatrician . He will check if she needs any medicine . Thanks,child specialist,0.0,"ANSWER: 0

The extracted entity ""child specialist"" is mentioned in the given text, so it is not hallucinated.",0.0,"ANSWER: 0

The extracted entity ""child specialist"" is not hallucinated with respect to the given text. The text mentions ""pediatrician,"" which is a synonym for ""child specialist."" Therefore, the extracted entity is accurately derived from"
ডাক্তার ভাইতে প্রশ্ন করার জন্যে আপনাকে ধন্যবাদ । না দেখে আসলে ঠিকভাবে বলা পসিবল না । আপনি একজন গাইনী বিশেষজ্ঞ চিকিৎসক কে দেখিয়ে পরামর্শ নিন । ,গাইনী বিশেষজ্ঞ চিকিৎসক,গাইনী বিশেষজ্ঞ চিকিৎসক,প্রসূতি বিশেষজ্ঞ চিকিৎসক,ডাক্তার ভাইতে প্রশ্ন করার জন্যে আপনাকে ধন্যবাদ । না দেখে আসলে ঠিকভাবে বলা পসিবল না । আপনি একজন প্রসূতি বিশেষজ্ঞ চিকিৎসক কে দেখিয়ে পরামর্শ নিন ।,গাইনী বিশেষজ্ঞ চিকিৎসক,0.0,"ANSWER: 0

The extracted entity ""গাইনী বিশেষজ্ঞ চিকিৎসক"" (gynecology specialist doctor) is present in the given text. The text",,"The text mentions ""প্রসূতি বিশেষজ্ঞ চিকিৎসক"" which translates to ""obstetrician"" or ""pregnancy specialist."" The extracted entity """
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি জ্বরের জন্য প্যারাসিটামল একটা বা দুইটা খেতে পারেন । এলার্জির জন্য এলাট্রল জাতীয় ঔষধ রাতে একটা করে খেতে পারেন । পানি বেশি করে পান করুন । একজন মেডিসিন ডাক্তারের পরামর্শ নিতে পারেন । ধন্যবাদ,মেডিসিন ডাক্তারের,মেডিসিন ডাক্তারের,অ্যালার্জি বিশেষজ্ঞের,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি জ্বরের জন্য প্যারাসিটামল একটা বা দুইটা খেতে পারেন । এলার্জির জন্য এলাট্রল জাতীয় ঔষধ রাতে একটা করে খেতে পারেন । পানি বেশি করে পান করুন । একজন অ্যালার্জি বিশেষজ্ঞের পরামর্শ নিতে পারেন । ধন্যবাদ,মেডিসিন ডাক্তারের,0.0,"ANSWER: 0

The extracted entity ""মেডিসিন ডাক্তারের"" is mentioned in the given text. The text advises the reader to take the advice of a ""মেড",1.0,"ANSWER: 1

The extracted entity ""মেডিসিন ডাক্তারের"" (medicine doctor's) is not mentioned in the given text. The text provides advice on taking paracetam"
Thank you for asking question to Daktarbhai . Pls consult a cardiologist . Thank you . ,cardiologist,cardiologist,pulmonologist,Thank you for asking question to Daktarbhai . Pls consult a pulmonologist . Thank you .,cardiologist,0.0,"ANSWER: 0

The extracted entity ""cardiologist"" is mentioned in the given text, so it is not hallucinated.",1.0,"ANSWER: 1

The text specifically mentions a ""pulmonologist,"" not a ""cardiologist."" Therefore, the extracted entity ""cardiologist"" is hallucinated."
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার ছেলেকে চোখের ডাক্তার দেখান । নাক বন্ধ থাকলে গরম বাতাসের ভাপ নিতে পারেন । একজন নাক কান গলা বিশেষজ্ঞ কে দেখান । ধন্যবাদ । ,নাক কান গলা বিশেষজ্ঞ,নাক কান গলা বিশেষজ্ঞ,অ্যালার্জি বিশেষজ্ঞ,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার ছেলেকে চোখের ডাক্তার দেখান । নাক বন্ধ থাকলে গরম বাতাসের ভাপ নিতে পারেন । একজন অ্যালার্জি বিশেষজ্ঞ কে দেখান । ধন্যবাদ ।,নাক কান গলা বিশেষজ্ঞ,0.0,"ANSWER: 0

The extracted entity ""নাক কান গলা বিশেষজ্ঞ"" (ENT specialist) is mentioned in the given text. Therefore, it is not hallucinated.",1.0,"ANSWER: 1

The text mentions ""অ্যালার্জি বিশেষজ্ঞ"" (allergy specialist) but does not mention ""নাক কান গল"
প্রশ্ন করার জন্য ধন্যবাদ । আপনার যেহেতু অনেক ধরনের সমস্যা আছে আপনার আরও বিস্তারিত তথ্য জানা প্রয়োজন এবং আপনি একজন বাত রোগ বিশেষজ্ঞ ডাক্তার দেখান । ধন্যবাদ । ,বাত রোগ বিশেষজ্ঞ,বাত রোগ বিশেষজ্ঞ,অস্থিরোগ বিশেষজ্ঞ,প্রশ্ন করার জন্য ধন্যবাদ । আপনার যেহেতু অনেক ধরনের সমস্যা আছে আপনার আরও বিস্তারিত তথ্য জানা প্রয়োজন এবং আপনি একজন অস্থিরোগ বিশেষজ্ঞ ডাক্তার দেখান । ধন্যবাদ ।,বাত রোগ বিশেষজ্ঞ,0.0,"ANSWER: 0

The extracted entity ""বাত রোগ বিশেষজ্ঞ"" (rheumatology specialist) is present in the given text. Therefore, it is not hallucinated.",1.0,"ANSWER: 1

The text mentions ""অস্থিরোগ বিশেষজ্ঞ"" (orthopedic specialist) and not ""বাত রোগ বিশ"
ডাক্তার ভাইতে প্রশ্ন করার জন্যে আপনাকে ধন্যবাদ । নাক বন্ধ থাকার জন্যে norsol nasal drop ১ - ২ ফোটা করে প্রয়োজন মত ব্যবহার করুন । একজন শিশু বিশেষজ্ঞ চিকিৎসক এর পরামর্শ নিবেন । ,শিশু বিশেষজ্ঞ,শিশু বিশেষজ্ঞ,নাক-কান-গলা বিশেষজ্ঞ,ডাক্তার ভাইতে প্রশ্ন করার জন্যে আপনাকে ধন্যবাদ । নাক বন্ধ থাকার জন্যে norsol nasal drop ১ - ২ ফোটা করে প্রয়োজন মত ব্যবহার করুন । একজন নাক-কান-গলা বিশেষজ্ঞ চিকিৎসক এর পরামর্শ নিবেন ।,শিশু বিশেষজ্ঞ,0.0,"ANSWER: 0

The extracted entity ""শিশু বিশেষজ্ঞ"" (pediatrician) is mentioned in the text. The text advises to consult a ""শিশু ব",1.0,"ANSWER: 1

The text mentions ""নাক-কান-গলা বিশেষজ্ঞ চিকিৎসক"" (ENT specialist) and not ""শিশ"
I m an advocate . Two years back . ENT specialist advised me I have suffering from Long Evula then prescribed some medicine then i cured . Three months ago I further attacked Khush kushi disease . Tele doctor advised Fimoxeclav - 625 + Tel fast + Sargel . I take this medicine but no cure and I am suffering Kush Kushi disease seriously . What can I do now ? ,ENT specialist,ENT specialist,otolaryngologist,I m an advocate . Two years back . otolaryngologist advised me I have suffering from Long Evula then prescribed some medicine then i cured . Three months ago I further attacked Khush kushi disease . Tele doctor advised Fimoxeclav - 625 + Tel fast + Sargel . I take this medicine but no cure and I am suffering Kush Kushi disease seriously . What can I do now ?,ENT specialist,0.0,"ANSWER: 0

The extracted entity ""ENT specialist"" is mentioned in the text. The text states, ""ENT specialist advised me I have suffering from Long Evula then prescribed some medicine then i cured."" Therefore, the entity is not halluc",0.0,"The text mentions an ""otolaryngologist,"" which is a type of ENT (Ear, Nose, and Throat) specialist. Therefore, the extracted entity ""ENT specialist"" is not hallucinated.

ANSWER: 0"
ডাক্তার ভাইতে প্রশ্ন করার জন্য আপনাকে ধন্যবাদ । এটা এমনিতেই হতে পারে । একজন হরমোন বিশেষজ্ঞ চিকিৎসক এর পরামর্শ নিবেন । ,হরমোন বিশেষজ্ঞ,হরমোন বিশেষজ্ঞ,এন্ডোক্রাইনোলজি বিশেষজ্ঞ,ডাক্তার ভাইতে প্রশ্ন করার জন্য আপনাকে ধন্যবাদ । এটা এমনিতেই হতে পারে । একজন এন্ডোক্রাইনোলজি বিশেষজ্ঞ চিকিৎসক এর পরামর্শ নিবেন ।,হরমোন বিশেষজ্ঞ,0.0,"ANSWER: 0

The extracted entity ""হরমোন বিশেষজ্ঞ"" (hormone specialist) is mentioned in the given text. Therefore, it is not hallucinated.",,"To determine whether the extracted medical entity ""হরমোন বিশেষজ্ঞ"" (hormone specialist) is hallucinated with respect to the given text, we need to check if this term is mentioned or"
Thank you for your question You can take tab . Calbo D 0 + 1 + 0 for 1month . This might be due nerve compression also . Tests and examination are required for diagnosis . Please consult with a medicine specialist and act accordingly . Thank you,medicine specialist,medicine specialist,neurologist,Thank you for your question You can take tab . Calbo D 0 + 1 + 0 for 1month . This might be due nerve compression also . Tests and examination are required for diagnosis . Please consult with a neurologist and act accordingly . Thank you,medicine specialist,0.0,"ANSWER: 0

The extracted entity ""medicine specialist"" is mentioned in the given text. The text advises the reader to ""Please consult with a medicine specialist and act accordingly."" Therefore, the entity is not hallucinated.",1.0,"ANSWER: 1

The text specifically mentions consulting with a ""neurologist,"" not a ""medicine specialist."" Therefore, the extracted entity ""medicine specialist"" is hallucinated."
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি পা গরম পানিতে সেক দিন । ব্যাথার জন্য প্যারাসিটামল খেতে পারেন । একজন ফিজিক্যাল মেডিসিন ডাক্তারের পরামর্ষ নিন । ধন্যবাদ,ফিজিক্যাল মেডিসিন ডাক্তারের,ফিজিক্যাল মেডিসিন ডাক্তারের,অর্থোপেডিক ডাক্তারের,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি পা গরম পানিতে সেক দিন । ব্যাথার জন্য প্যারাসিটামল খেতে পারেন । একজন অর্থোপেডিক ডাক্তারের পরামর্ষ নিন । ধন্যবাদ,ফিজিক্যাল মেডিসিন ডাক্তারের,0.0,"ANSWER: 0

The extracted entity ""ফিজিক্যাল মেডিসিন ডাক্তারের"" (physical medicine doctor) is mentioned in the given text.",1.0,"ANSWER: 1

The text mentions an ""অর্থোপেডিক ডাক্তার"" (orthopedic doctor), but the extracted entity ""ফিজিক্য"
আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি থাইরয়েড পরীক্ষা করিয়ে দেখতে পারেন কোনো সমস্যা আছে কিনা তা দেখুন । রিপোর্ট সহ একজন হরমনের ডাক্তার কে দেখিয়ে নিন । পানি বেশি করে পান করুন । ধন্যবাদ । ,হরমনের ডাক্তার,হরমনের ডাক্তার,থাইরয়েড বিশেষজ্ঞ,আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনি থাইরয়েড পরীক্ষা করিয়ে দেখতে পারেন কোনো সমস্যা আছে কিনা তা দেখুন । রিপোর্ট সহ একজন থাইরয়েড বিশেষজ্ঞ কে দেখিয়ে নিন । পানি বেশি করে পান করুন । ধন্যবাদ ।,হরমনের ডাক্তার,0.0,"ANSWER: 0

The extracted entity ""হরমনের ডাক্তার"" (hormone doctor) is mentioned in the given text. The text advises the reader to see a hormone doctor along with",1.0,"ANSWER: 1

The text mentions a ""থাইরয়েড বিশেষজ্ঞ"" (thyroid specialist) but does not mention ""হরমনের ডাক"
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার প্রেশার স্বাভাবিক প্রেশার এর সর্বোচ্চ অবস্থায় আছে । আপনার যদি কোনো রোগের লক্ষন না থাকে আপনি কিছু দিন খাদ্যাভ্যাস পরিবর্তন , নিয়মিত ব্যায়াম , সঠিক সময়ে ঘুমের অভ্যাস ইত্যাদি করে চেষ্টা করে দেখতে পারেন প্রশার নিয়ন্ত্রণ হয় কিনা । নিয়ন্ত্রনে না আসলে একজন মেডিসিনের ডাক্তারের পরামর্শ নিতে পারেন । ধনবাদ",মেডিসিনের ডাক্তারের,মেডিসিনের ডাক্তারের,হৃদরোগ বিশেষজ্ঞের,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । আপনার প্রেশার স্বাভাবিক প্রেশার এর সর্বোচ্চ অবস্থায় আছে । আপনার যদি কোনো রোগের লক্ষন না থাকে আপনি কিছু দিন খাদ্যাভ্যাস পরিবর্তন , নিয়মিত ব্যায়াম , সঠিক সময়ে ঘুমের অভ্যাস ইত্যাদি করে চেষ্টা করে দেখতে পারেন প্রশার নিয়ন্ত্রণ হয় কিনা । নিয়ন্ত্রনে না আসলে একজন হৃদরোগ বিশেষজ্ঞের পরামর্শ নিতে পারেন । ধনবাদ",মেডিসিনের ডাক্তারের,0.0,"ANSWER: 0

The extracted entity ""মেডিসিনের ডাক্তারের"" (a doctor of medicine) is mentioned in the given text. The text suggests consulting a ""ম",1.0,"ANSWER: 1

The extracted entity ""মেডিসিনের ডাক্তারের"" (doctor of medicine) is not mentioned in the given text. The text refers to a ""হ"
"প্রফেসর < NAME > , শিশু সার্জেন্ট এনার অ্যাপোয়েন্টমেন্ট কিভাবে নেব ? ",শিশু সার্জেন্ট,শিশু সার্জেন্ট,শিশু বিশেষজ্ঞ,"প্রফেসর < NAME > , শিশু বিশেষজ্ঞ এনার অ্যাপোয়েন্টমেন্ট কিভাবে নেব ?",শিশু সার্জেন্ট,0.0,"ANSWER: 0

The extracted entity ""শিশু সার্জেন্ট"" (child surgeon) is present in the given text. Therefore, it is not hallucinated.",1.0,"ANSWER: 1

The extracted entity ""শিশু সার্জেন্ট"" (child sergeant) is not mentioned in the given text. The text mentions ""শিশু ব"
ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । syp Ambrox ৮ ফোটা করে দিনে ২বার . . . . ৭দিন । অন্তত আরো ৩দিন দেখুন । এর মধ্যে অবস্থার উন্নতি না হলে শিশু বিশেষজ্ঞের পরামর্শ নিন । ,বিশেষজ্ঞের,বিশেষজ্ঞের,বক্ষব্যাধি বিশেষজ্ঞ,ডাক্তার ভাই কে প্রশ্ন করার জন্য ধন্যবাদ । syp Ambrox ৮ ফোটা করে দিনে ২বার . . . . ৭দিন । অন্তত আরো ৩দিন দেখুন । এর মধ্যে অবস্থার উন্নতি না হলে বক্ষব্যাধি বিশেষজ্ঞের পরামর্শ নিন ।,বিশেষজ্ঞের,0.0,"ANSWER: 0

The extracted entity ""বিশেষজ্ঞের"" (specialist's) is present in the given text. The text mentions ""শিশু বিশেষজ",0.0,"ANSWER: 0

The extracted entity ""বিশেষজ্ঞের"" (specialist's) is not hallucinated. It appears in the given text in the sentence ""এর মধ্যে"
"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । যেহেতু ওনার সমস্যাটি দীর্ঘদিনের এবং তা ওনার দৈনন্দিন কাজকর্মে ব্যাঘাত ঘটাচ্ছে , তাই এর বিস্তারিত ইতিহাস জেনে , কিছু পরীক্ষা নিরীক্ষা করে , এর মাধ্যমে এই ব্যাথার সঠিক কারণ নির্নয় করে এর সমাধান করতে হবে । আপনি একজন Orthopedics বিশেষজ্ঞের সাথে পরামর্শ করুন । ধন্যবাদ । ",Orthopedics বিশেষজ্ঞের,Orthopedics বিশেষজ্ঞের,রিউমাটোলজি বিশেষজ্ঞের,"আপনাকে ধন্যবাদ প্রশ্ন করার জন্য । যেহেতু ওনার সমস্যাটি দীর্ঘদিনের এবং তা ওনার দৈনন্দিন কাজকর্মে ব্যাঘাত ঘটাচ্ছে , তাই এর বিস্তারিত ইতিহাস জেনে , কিছু পরীক্ষা নিরীক্ষা করে , এর মাধ্যমে এই ব্যাথার সঠিক কারণ নির্নয় করে এর সমাধান করতে হবে । আপনি একজন রিউমাটোলজি বিশেষজ্ঞের সাথে পরামর্শ করুন । ধন্যবাদ ।",Orthopedics বিশেষজ্ঞের,0.0,"ANSWER: 0

The extracted entity ""Orthopedics বিশেষজ্ঞের"" is mentioned in the given text. The text advises the reader to consult an ""Orthopedics বিশেষ",1.0,"ANSWER: 1

The text specifically mentions a ""রিউমাটোলজি বিশেষজ্ঞ"" (Rheumatology specialist), not an ""Orthopedics বিশ"
ডাক্তারভাইকে প্রশ্ন করার জন্য ধন্যবাদ । Lulizole cream - - আক্রান্ত স্থানে দিনে ২ বার দিবেন - - - - - 15 days Tab . Deslor 5mg - - - 0 + 0 + 1 - - - - 15 days Dancare Shampoo - - - - আক্রান্ত স্থানে লাগিয়ে ১০ মিনিট পর ধুয়ে ফেলবেন - - - 15 days Prescription টি follow করুন । সেই সাথে অবশ্যই দ্রুত একজন Dermatologist এর পরামর্শ নিন । ধন্যবাদ,Dermatologist,Dermatologist,চর্মরোগ বিশেষজ্ঞ,ডাক্তারভাইকে প্রশ্ন করার জন্য ধন্যবাদ । Lulizole cream - - আক্রান্ত স্থানে দিনে ২ বার দিবেন - - - - - 15 days Tab . Deslor 5mg - - - 0 + 0 + 1 - - - - 15 days Dancare Shampoo - - - - আক্রান্ত স্থানে লাগিয়ে ১০ মিনিট পর ধুয়ে ফেলবেন - - - 15 days Prescription টি follow করুন । সেই সাথে অবশ্যই দ্রুত একজন চর্মরোগ বিশেষজ্ঞ এর পরামর্শ নিন । ধন্যবাদ,Dermatologist,0.0,"ANSWER: 0

The extracted entity ""Dermatologist"" is mentioned in the text. The text advises the patient to consult a Dermatologist, which confirms that the entity is not hallucinated.",,"The text mentions ""চর্মরোগ বিশেষজ্ঞ"" which translates to ""Dermatologist"" in English. Therefore, the extracted entity ""Dermatologist"" is not hallucinated."
